name,clock,max_clock,core,thread,L2,L3,smart_cache
AMD Athlon(tm) 64 X2 Dual Core Processor BE-2300,,,,,,,
AMD Turion(tm) 64 X2 Mobile Technology TL-64,,,,,,,
AMD Athlon(tm) 64 FX-70 Processor,,,,,,,
AMD Sempron(tm) 2100+,,,,,,,
Mobile AMD Athlon(tm) XP 2600+,,,,,,,
Intel(R) Core(TM) i5-3470T CPU @ 2.90GHz,2.9,3.6,2,4,,,3000.0
Intel(R) Core(TM) i7-4770K CPU @ 3.50GHz,3.5,3.9,4,8,,,8000.0
Intel(R) Pentium(R) CPU 3825U @ 1.90GHz,1.9,,2,4,,2000.0,
Intel(R) Core(TM)2 Quad CPU Q9550 @ 2.83GHz,2.83,,4,4,12000.0,,
AMD Athlon(tm) 64 X2 Dual Core Processor BE-235,,,,,,,
AMD FX(tm)-6100 Six-Core Processor ,,,,,,,
Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,2.6,3.5,2,4,,,3000.0
AMD Athlon(tm) II X3 445 Processor,,,,,,,
Intel(R) Xeon(R) CPU X3370 @ 3.00GHz,3.0,,4,4,12000.0,,
AMD Athlon(tm) 64 X2 Processor 4400+,,,,,,,
Intel(R) Core(TM) i7 CPU S 870 @ 2.67GHz,2.93,3.6,4,8,,,8000.0
Intel(R) Pentium(R) 4 CPU 3.06GHz,3.06,,1,2,512.0,,
Celeron(R) Dual-Core CPU T3500 @ 2.10GHz,2.1,,2,2,,1000.0,
VIA C7-M Processor 1600MHz,,,,,,,
Intel(R) Xeon(R) CPU 3050 @ 2.13GHz,2.13,,2,2,2000.0,,
Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,3.7,,2,4,,,3000.0
Intel(R) Xeon(R) CPU X3350 @ 2.66GHz,2.66,,4,4,12000.0,,
Intel(R) Core(TM) i7 CPU 960 @ 3.20GHz,3.2,3.46,4,8,,,8000.0
Mobile Intel(R) Celeron(TM) CPU 1200MHz,1.73,,1,1,1000.0,,
Intel(R) Celeron(TM) CPU 1200MHz,1.2,,1,1,256.0,,
Intel(R) Celeron(R) CPU G1820 @ 2.70GHz,2.7,,2,2,,,2000.0
AMD A10-5700 APU with Radeon(tm) HD Graphics,,,,,,,
Dual-Core AMD Opteron(tm) Processor 1214,,,,,,,
Intel(R) Pentium(R) CPU P6200 @ 2.13GHz,2.13,,2,2,,,3000.0
AMD Athlon(tm) II X3 450 Processor,,,,,,,
Intel(R) Core(TM) i7-5775C CPU @ 3.30GHz,3.3,,2,4,,,3000.0
AMD Athlon(tm) MP 2400+,,,,,,,
Genuine Intel(R) CPU T2500 @ 2.00GHz,2.0,,2,2,2000.0,,
mobile AMD Athlon(tm) XP-M (LV) 1700+,,,,,,,
Mobile AMD Duron(tm) Processor,,,,,,,
Intel(R) Core(TM) i3-4370 CPU @ 3.80GHz,3.8,,2,4,,,4000.0
Intel(R) Xeon(R) CPU E5-2683 v3 @ 2.00GHz,2.0,3.0,14,28,,,35000.0
Intel(R) Celeron(R) CPU 925 @ 2.30GHz,2.3,,1,1,1000.0,,
Intel(R) Pentium(R) D CPU 2.66GHz,2.66,,1,1,512.0,,
Intel(R) Pentium(R) 4 Family CPU 2.53GHz,2.8,,1,1,512.0,,
Intel(R) Xeon(R) CPU E5-2687W v2 @ 3.40GHz,3.4,4.0,8,16,,,25000.0
AMD Athlon(tm) 64 X2 Processor 4600+,,,,,,,
Mobile Intel(R) Pentium(R) III CPU - M 933MHz,0.933,,1,1,512.0,,
AMD Athlon(TM) XP2200+,,,,,,,
mobile AMD Athlon(tm) XP-M (LV) 1900+,,,,,,,
Intel(R) Core(TM) i7 CPU X 920 @ 2.00GHz,2.0,3.2,4,8,,,8000.0
AMD Athlon(tm) XP Processor 3000+,,,,,,,
Intel(R) Atom(TM) CPU 330 @ 1.60GHz,1.6,,2,4,1000.0,,
Intel(R) Celeron(R) M processor 1.60GHz,1.6,,1,1,1000.0,,
AMD Phenom(tm) X4 Quad-Core Processor GP-9730,,,,,,,
Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz,1.8,,2,4,,,3000.0
AMD Athlon(TM) XP 2600+,,,,,,,
Intel(R) Xeon(R) CPU W3680 @ 3.33GHz,3.33,3.6,6,12,,,12000.0
Genuine Intel(R) CPU 6.00GHz,2.0,,1,1,1000.0,,
AMD Turion(tm) 64 Mobile ML-40,,,,,,,
AMD Sempron(tm) 3000+,1.8,,1,,128.0,,0
Intel(R) Xeon(R) CPU E3-1225 v3 @ 3.20GHz,3.2,3.6,4,4,,,8000.0
Intel(R) Core(TM) i7-4710MQ CPU @ 2.50GHz,2.5,3.5,4,8,,,6000.0
Mobile AMD Sempron(tm) Processor 3300+,,,,,,,
AMD Athlon(TM) XP 3200+,,,,,,,
Intel(R) Xeon(R) CPU L3110 @ 3.00GHz,3.0,,2,2,6000.0,,
AMD Phenom(tm) II X4 945 Processor,,,,,,,
AMD Turion(tm) 64 mobile Technology ML-37,,,,,,,
Intel(R) Pentium(R) III CPU family 1133MHz,1.13,,1,1,256.0,,
Intel(R) Pentium(R) 4 Mobile CPU 2.00GHz,2.0,,1,1,512.0,,
AMD Athlon(tm) XP 2900+,,,,,,,
Intel(R) Core(TM) i5-2410M CPU @ 2.30GHz,2.3,2.9,2,4,,,3000.0
Mobile AMD Athlon(tm) XP-M Processor 2800+,,,,,,,
Intel(R) Core(TM)2 Quad CPU @ 2.66GHz,2.66,,4,4,6000.0,,
AMD Ryzen 7 1800X Eight-Core Processor ,3.6,4.0,8.0,16.0,4000.0,16000.0,0
Pentium MMX (P55C) ,,,,,,,
Genuine Intel(R) CPU @ 2.60GHz,1.6,,2,2,1000.0,,
Intel(R) Core(TM) i7 CPU 970 @ 3.20GHz,3.2,3.46,6,12,,,12000.0
Intel(R) Core(TM)2 CPU E7500 @ 2.93GHz,2.93,,2,2,3000.0,,
Intel(R) Core(TM) i7-2960XM CPU @ 2.70GHz,2.7,3.7,4,8,,,8000.0
AMD Phenom(tm) II X4 B60 Processor,,,,,,,
Intel(R) Celeron(R) CPU B800 @ 1.50GHz,1.5,,2,2,,2000.0,
AMD Athlon(tm) 7850 Dual-Core Processor,,,,,,,
AMD Athlon(tm) 2400+,,,1,,,,0
mobile AMD Athlon(tm) XP-M 2000+,,,,,,,
Intel(R) Celeron(R) CPU N2807 @ 1.58GHz,1.58,,2,2,,1000.0,
Intel(R) Pentium(R) III Mobile CPU 800MHz,0.8,,1,1,256.0,,
Genuine Intel(R) CPU T1300 @ 1.66GHz,1.66,,1,1,2000.0,,
AMD Athlon(tm) 64 Processor 2800+,,,,,,,
AMD Phenom(tm) II X4 970 Processor,3.5,,4,,2000.0,6000.0,0
Intel(R) Pentium(R) 4 Mobile CPU 1.70GHz,1.7,,1,1,256.0,,
Intel(R) Core(TM) i3 CPU U 380 @ 1.33GHz,1.33,,2,4,,,3000.0
Intel(R) Celeron(R) CPU 2.60GHz,2.6,,2,2,,,2000.0
AMD Athlon(tm) X2 240 Processor,,,,,,,
Intel(R) Core(TM) i7-2920XM CPU @ 2.50GHz,2.5,3.5,4,8,,,8000.0
AMD A6-3420M APU with Radeon(tm) HD Graphics,,,,,,,
AMD Athlon(tm) 64 Processor 3100+,,,,,,,
Core 2 Quad (Yorkfield) ,2.83,,4,4,12000.0,,
Pentium II (Deschutes) ,,,,,,,
AMD Athlon(tm)X2 DualCore QL-60,,,,,,,
Core 2 Duo (Wolfdale) ,,,,,,,
Intel(R) Core(TM)2 Duo CPU T9900 @ 3.06GHz,3.06,,2,2,6000.0,,
AMD Athlon(tm) 2800+,,,1,,,,0
AMD Turion(tm) 64 Mobile ML-28,,,,,,,
Intel(R) Core(TM) i7-3632QM CPU @ 2.20GHz,2.2,3.2,4,8,,,6000.0
Intel(R) Core(TM) i5 CPU K 655 @ 3.20GHz,3.2,3.46,2,4,,,4000.0
Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,2.4,3.0,2,4,,,3000.0
AMD A8-5600K APU with Radeon(tm) HD Graphics,,,,,,,
AMD Sempron(TM) 2800+,,,,,,,
AMD Athlon(tm) 64 Processor FX-55,,,,,,,
Intel(R) Core(TM)2 Extreme CPU Q6800 @ 2.93GHz,2.93,,4,4,8000.0,,
AMD A6-7310 APU with AMD Radeon R4 Graphics ,,,,,,,
Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz,2.3,3.0,10,20,,,25000.0
Intel(R) Core(TM)2 Duo CPU T7800 @ 2.60GHz,2.6,,2,2,4000.0,,
Intel(R) Pentium(R) 3558U @ 1.70GHz,1.7,,2,2,,,2000.0
AMD Opteron(tm) Processor 240,,,,,,,
VIA Ezra,,,,,,,
Intel(R) Core(TM)2 CPU 6300 @ 1.86GHz,1.86,,2,2,2000.0,,
AMD Phenom(tm) 8400 Triple-Core Processor,,,,,,,
Mobile AMD Sempron(tm) 3100+,,,,,,,
Intel(R) Core(TM) Duo CPU L2400 @ 1.66GHz,1.66,,2,2,2000.0,,
AMD Athlon(tm) 64 X2 Dual Core 4600+,2.4,,2,,1000.0,,0
AMD Processor model unknown,,,,,,,
AMD Athlon XP_M,,,,,,,
Intel(R) Pentium(R) 4 CPU 1300MHz,2.8,,1,1,512.0,,
AMD Athlon(tm) 64 Processor 3700+,,,,,,,
AMD Opteron(tm) Processor 152,,,,,,,
Intel(R) Pentium(R) 4 CPU 1.40GHz,2.4,,1,1,512.0,,
