,id,capacity,generation
506,878,0.384,0
507,879,0.896,1
508,880,1.024,1
509,883,1.024,1
510,884,1.024,1
511,885,0.512,
512,887,0.255,0
513,888,1.023,1
514,889,1.024,1
515,890,2.048,
516,892,0.512,1
517,896,0.512,1
518,899,0.512,1
519,900,0.256,
520,901,0.32,0
521,902,0.512,1
522,904,0.447,
523,905,0.768,1
524,908,0.447,
525,911,0.255,
526,914,1.023,1
527,915,0.248,1
528,917,0.768,0
529,918,0.512,1
530,919,0.512,1
531,926,0.256,1
532,927,0.256,4
533,929,0.256,0
534,932,1.024,1
535,934,1.024,0
536,935,1.024,1
537,936,2.048,1
538,937,1.024,0
539,938,0.512,1
540,939,2.048,1
541,943,1.023,1
542,944,1.023,1
543,946,0.768,0
544,949,1.016,1
545,950,0.512,1
546,953,0.512,1
547,955,0.112,
548,956,0.76,0
549,958,0.496,1
550,959,1.024,1
551,961,1.024,0
552,963,0.768,1
553,964,0.768,1
554,965,1.022,1
555,966,0.512,1
556,967,0.512,1
557,968,0.256,1
558,969,2.047,1
559,970,0.256,1
560,971,0.256,1
561,972,1.024,1
562,973,1.024,1
563,974,0.256,1
564,975,0.512,1
565,977,1.024,4
566,978,0.512,1
567,980,0.384,0
568,981,0.512,1
569,982,0.256,1
570,983,0.512,1
571,986,0.384,1
572,988,0.512,1
573,989,0.512,
574,991,0.512,1
575,992,1.024,1
576,994,0.512,1
577,997,0.512,1
578,998,1.024,
579,1000,0.48,
580,1001,1.023,1
581,1002,0.256,
582,1003,0.768,1
583,1004,0.192,0
584,1006,0.512,
585,1007,1.024,1
586,1010,0.192,
587,1011,0.512,1
588,1012,1.024,1
589,1013,0.511,1
590,1015,0.512,1
591,1016,0.511,1
592,1017,1.024,1
593,1018,0.192,0
594,1019,1.024,1
595,1020,1.024,1
596,1021,0.192,0
597,1025,0.127,0
598,1026,1.024,1
599,1029,0.512,
600,1030,1.024,1
601,1031,0.224,1
602,1032,0.512,1
603,1033,0.512,0
604,1035,0.768,1
605,1036,0.512,1
606,1039,2.047,1
607,1040,0.512,1
608,1041,1.024,1
609,1042,0.512,1
610,1043,0.248,1
611,1046,1.024,1
612,1049,0.96,1
613,1050,1.536,1
614,1051,2.048,1
615,1052,1.023,
616,1056,0.512,1
617,1057,1.024,1
618,1059,0.384,0
619,1060,0.512,1
620,1061,1.024,1
621,1062,2.048,1
622,1063,1.024,1
623,1064,0.479,1
624,1065,1.024,1
625,1070,0.191,1
626,1072,2.048,1
627,1073,2.047,1
628,1074,0.512,1
629,1075,1.024,1
630,1076,2.048,1
631,1078,0.256,0
632,1082,0.512,1
633,1083,0.704,1
634,1084,0.512,1
635,1086,0.512,1
636,1087,2.047,1
637,1088,0.512,1
638,1089,1.023,1
639,1090,1.024,1
640,1091,0.495,1
641,1092,1.024,1
642,1093,1.024,1
643,1095,0.504,
644,1098,1.023,1
645,1099,0.256,1
646,1100,1.024,1
647,1101,1.023,
648,1102,0.512,1
649,1103,1.024,1
650,1104,0.767,
651,1108,0.448,1
652,1110,0.256,1
653,1112,1.024,1
654,1113,0.319,0
655,1114,0.512,1
656,1116,1.024,1
657,1119,0.512,1
658,1121,0.767,
659,1122,1.535,1
660,1127,0.512,1
661,1128,0.767,
662,1129,2.048,1
663,1131,1.024,1
664,1134,0.512,0
665,1135,0.767,
666,1136,1.023,1
667,1137,1.024,1
668,1138,0.512,1
669,1139,0.128,0
670,1140,1.024,
671,1141,0.512,1
672,1142,0.512,1
673,1143,1.024,1
674,1144,1.024,1
675,1145,0.102,1
676,1146,1.023,1
677,1147,0.256,1
678,1148,2.047,1
679,1149,0.512,1
680,1150,1.007,1
681,1151,1.024,1
682,1152,0.256,1
683,1153,1.023,1
684,1154,1.023,1
685,1155,1.024,
686,1157,0.512,0
687,1158,0.704,1
688,1159,0.192,1
689,1160,0.448,1
690,1161,2.048,1
691,1162,0.511,1
692,1163,0.512,1
693,1164,2.048,1
694,1165,1.024,1
695,1166,0.512,1
696,1171,0.504,1
697,1174,1.024,1
698,1175,0.512,1
699,1176,1.024,
700,1177,1.024,1
701,1179,2.048,1
702,1180,1.023,1
703,1181,0.319,0
704,1183,0.512,1
705,1184,0.512,1
706,1185,1.024,
707,1186,0.512,1
708,1187,1.024,1
709,1188,2.048,1
710,1190,0.512,1
711,1192,0.512,
712,1195,0.512,1
713,1196,0.512,1
714,1197,0.512,1
715,1198,0.512,1
716,1201,1.024,1
717,1203,1.024,1
718,1204,0.248,
719,1205,0.512,
720,1206,1.024,1
721,1207,0.512,1
722,1211,0.512,0
723,1212,1.023,1
724,1213,0.512,1
725,1214,0.448,1
726,1216,0.255,1
727,1217,1.024,1
728,1218,1.024,1
729,1220,0.255,0
730,1221,2.047,1
731,1222,1.024,1
732,1224,1.024,1
733,1225,0.224,0
734,1226,0.512,1
735,1227,0.512,1
736,1228,0.511,1
737,1229,0.256,1
738,1230,0.512,0
739,1231,0.512,1
740,1232,0.511,1
741,1233,2.047,1
742,1234,1.023,1
743,1235,1.536,1
744,1238,1.024,1
745,1240,0.256,
746,1241,0.512,1
747,1242,1.024,1
748,1244,0.768,0
749,1245,0.448,1
750,1246,1.024,1
751,1247,0.256,0
752,1248,1.024,1
753,1253,1.024,1
754,1255,0.512,1
755,1256,0.192,1
756,1258,0.512,1
757,1259,0.248,
758,1263,0.512,1
759,1264,1.024,
760,1267,1.024,
761,1270,0.512,1
762,1272,0.512,1
763,1273,1.024,1
764,1274,0.512,1
765,1275,0.512,1
766,1276,0.384,0
767,1277,2.047,1
768,1280,0.511,1
769,1282,0.767,
770,1283,1.024,1
771,1284,1.024,1
772,1286,1.024,1
773,1287,1.024,1
774,1291,0.128,
775,1292,0.767,1
776,1293,1.023,1
777,1295,1.024,
778,1296,2.047,1
779,1297,1.024,1
780,1299,1.024,1
781,1300,0.512,1
782,1304,1.024,1
783,1305,1.536,
784,1306,0.256,0
785,1307,0.256,0
786,1308,0.504,1
787,1310,0.512,1
788,1312,0.512,1
789,1315,1.024,1
790,1317,1.023,1
791,1318,0.511,1
792,1321,1.024,1
793,1322,0.512,1
794,1324,0.511,
795,1325,0.504,0
796,1326,0.223,1
797,1327,0.504,1
798,1330,1.024,1
799,1331,0.512,1
800,1332,0.512,1
801,1333,0.512,1
802,1334,1.024,1
803,1335,0.512,1
804,1336,1.024,1
805,1337,0.512,1
806,1339,1.023,1
807,1340,1.024,1
808,1342,1.024,1
809,1343,0.248,1
810,1344,1.024,1
811,1345,0.512,1
812,1347,1.023,1
813,1349,0.512,1
814,1351,0.512,
815,1352,1.024,
816,1353,1.024,1
817,1354,1.024,1
818,1356,0.512,1
819,1361,2.047,
820,1362,0.512,1
821,1365,0.503,1
822,1368,0.511,1
823,1369,0.512,
824,1371,0.511,1
825,1372,1.008,1
826,1373,0.511,1
827,1375,1.024,1
828,1377,0.768,1
829,1380,1.023,1
830,1381,1.024,1
831,1384,0.48,1
832,1385,0.512,1
833,1386,0.256,1
834,1387,0.48,1
835,1389,0.224,1
836,1390,0.224,1
837,1391,1.152,0
838,1392,0.496,0
839,1394,0.511,0
840,1395,0.512,1
841,1396,0.511,1
842,1397,0.768,0
843,1399,1.024,1
844,1400,0.512,
845,1401,1.024,
846,1402,1.024,1
847,1403,1.024,1
848,1404,0.512,1
849,1405,1.023,1
850,1406,2.047,1
851,1408,0.512,1
852,1409,0.512,1
853,1412,0.512,1
854,1414,1.015,
855,1417,1.024,
856,1418,1.024,1
857,1419,1.024,1
858,1421,0.256,1
859,1423,0.512,1
860,1424,0.999,1
861,1426,1.024,1
862,1428,1.024,1
863,1430,0.512,1
864,1431,1.024,1
865,1432,0.512,1
866,1433,1.023,1
867,1437,0.512,1
868,1439,1.024,1
869,1442,1.024,1
870,1445,1.023,1
871,1448,2.047,1
872,1449,1.024,1
873,1450,1.023,1
874,1452,0.512,
875,1453,0.512,
876,1454,0.512,
877,1455,1.536,1
878,1456,0.767,1
879,1459,0.495,
880,1461,0.512,0
881,1462,0.512,1
882,1463,1.023,
883,1464,0.511,1
884,1465,0.512,1
885,1466,0.256,0
886,1467,1.024,1
887,1468,2.048,
888,1470,1.024,1
889,1471,0.512,1
890,1472,0.512,1
891,1473,0.512,1
892,1474,2.048,1
893,1476,0.768,1
894,1478,1.024,
895,1479,0.384,0
896,1480,0.767,1
897,1483,1.024,1
898,1484,1.024,1
899,1485,0.512,1
900,1486,0.512,1
901,1489,1.024,1
902,1490,1.024,1
903,1491,1.024,1
904,1492,0.768,1
905,1494,1.024,1
906,1495,0.512,
907,1496,1.024,1
908,1497,1.024,1
909,1499,1.024,1
910,1500,0.632,0
911,1501,2.048,1
912,1502,1.008,1
913,1503,2.047,1
914,1504,0.511,1
915,1505,0.512,1
916,1506,0.512,1
917,1507,0.512,1
918,1508,0.512,1
919,1510,0.512,1
920,1511,0.512,1
921,1512,1.023,4
922,1513,0.384,0
923,1514,0.504,1
924,1515,1.022,1
925,1516,2.048,0
926,1519,0.511,1
927,1520,0.767,1
928,1522,0.191,
929,1525,0.512,1
930,1526,0.512,1
931,1528,0.256,0
932,1529,0.511,1
933,1530,0.768,1
934,1531,0.767,1
935,1534,1.024,1
936,1535,0.512,1
937,1536,0.512,1
938,1537,0.511,1
939,1543,1.024,1
940,1545,0.512,1
941,1546,0.512,1
942,1547,0.512,1
943,1550,1.024,1
944,1551,1.024,0
945,1552,0.511,1
946,1554,0.512,1
947,1556,1.024,1
948,1557,0.51,1
949,1558,0.384,0
950,1559,0.512,1
951,1560,0.512,1
952,1561,1.023,1
953,1562,0.768,1
954,1563,0.512,1
955,1564,0.512,0
956,1565,0.512,1
957,1566,0.24,0
958,1567,1.024,1
959,1568,0.512,1
960,1569,0.512,1
961,1570,0.512,1
962,1574,1.024,1
963,1575,0.144,
964,1576,0.512,4
965,1577,0.256,1
966,1578,0.512,1
967,1580,1.024,1
968,1581,1.024,1
969,1583,1.024,1
970,1584,0.496,1
971,1585,0.768,
972,1586,1.024,1
973,1587,0.511,1
974,1588,1.024,1
975,1589,1.024,0
976,1590,1.024,1
977,1591,0.512,1
978,1593,1.024,0
979,1595,0.247,1
980,1596,0.512,1
981,1597,1.024,1
982,1598,1.023,1
983,1599,1.024,1
984,1600,0.512,1
985,1601,1.024,
986,1603,1.023,1
987,1604,2.048,1
988,1605,0.256,
989,1606,1.28,1
990,1607,0.512,1
991,1608,0.479,1
992,1609,1.536,
993,1612,1.007,1
994,1613,0.512,
995,1614,0.512,1
996,1615,0.512,1
997,1616,1.023,1
998,1617,0.512,1
999,1618,1.279,1
1000,1619,0.512,0
1001,1622,0.255,1
1002,1623,0.256,1
1003,1624,1.024,1
1004,1625,1.023,1
1005,1626,0.512,
1006,1627,0.512,1
1007,1629,1.024,1
1008,1630,0.224,1
1009,1632,1.024,1
1010,1633,0.512,
1011,1634,0.512,1
1012,1636,1.024,1
1013,1637,0.512,1
1014,1638,0.512,1
1015,1639,1.024,1
1016,1640,0.768,0
1017,1642,2.048,
1018,1644,1.024,1
1019,1645,0.512,
1020,1647,1.024,1
1021,1648,1.024,
1022,1649,0.512,1
1023,1652,0.512,1
1024,1654,1.023,1
1025,1656,0.256,
1026,1657,0.512,1
1027,1659,1.024,1
1028,1660,1.023,1
1029,1661,0.512,1
1030,1662,1.024,1
1031,1663,0.759,1
1032,1665,0.255,1
1033,1667,0.512,1
1034,1668,0.512,1
1035,1669,1.023,1
1036,1671,1.023,
1037,1672,2.047,
1038,1673,1.023,1
1039,1675,0.512,1
1040,1677,1.024,1
1041,1679,0.512,1
1042,1680,0.512,1
1043,1681,0.512,1
1044,1682,1.023,1
1045,1684,1.024,1
1046,1685,0.512,1
1047,1687,1.024,1
1048,1688,0.512,1
1049,1689,1.024,1
1050,1690,1.024,1
1051,1691,0.504,1
1052,1692,1.024,1
1053,1693,1.024,1
1054,1694,2.047,1
1055,1695,0.096,0
1056,1698,1.023,1
1057,1699,2.048,1
1058,1701,0.256,0
1059,1702,1.024,0
1060,1703,1.023,1
1061,1704,1.023,1
1062,1705,0.511,1
1063,1706,1.024,1
1064,1707,1.024,1
1065,1708,1.024,1
1066,1710,0.512,1
1067,1711,1.024,1
1068,1713,1.024,1
1069,1714,0.511,1
1070,1716,1.024,1
1071,1719,0.48,1
1072,1720,0.512,
1073,1721,1.024,1
1074,1722,0.768,1
1075,1723,0.512,1
1076,1724,0.512,1
1077,1725,0.512,1
1078,1726,0.512,1
1079,1727,0.512,1
1080,1729,0.512,1
1081,1730,0.32,0
1082,1731,1.023,
1083,1733,0.48,1
1084,1734,0.448,1
1085,1735,0.512,1
1086,1739,2.048,1
1087,1740,0.511,1
1088,1744,0.512,1
1089,1745,0.512,1
1090,1749,1.024,1
1091,1754,0.16,1
1092,1755,0.511,1
1093,1756,1.023,1
1094,1757,0.512,0
1095,1760,0.736,1
1096,1766,1.023,1
1097,1768,1.024,1
1098,1769,0.512,
1099,1771,0.512,0
1100,1773,0.512,
1101,1775,0.512,
1102,1777,1.008,1
1103,1778,0.512,1
1104,1779,0.192,1
1105,1781,1.024,1
1106,1782,1.024,1
1107,1783,1.024,1
1108,1786,1.023,1
1109,1788,1.023,1
1110,1789,0.512,1
1111,1790,1.024,1
1112,1792,0.512,1
1113,1794,1.023,1
1114,1796,1.023,0
1115,1797,1.023,1
1116,1798,2.048,
1117,1800,1.024,1
1118,1801,0.512,0
1119,1802,0.256,1
1120,1803,0.256,0
1121,1804,0.256,1
1122,1805,0.512,1
1123,1806,0.239,1
1124,1807,0.512,1
1125,1808,1.024,1
1126,1810,1.024,0
1127,1811,0.512,1
1128,1812,0.512,1
1129,1813,2.048,1
1130,1814,1.024,1
1131,1815,1.023,1
1132,1817,1.023,1
1133,1818,1.024,1
1134,1819,1.023,1
1135,1821,1.024,1
1136,1825,1.024,1
1137,1826,1.536,1
1138,1827,2.048,1
1139,1828,1.023,1
1140,1829,2.048,1
1141,1830,1.024,1
1142,1833,0.511,0
1143,1834,1.024,1
1144,1836,1.024,0
1145,1837,1.024,
1146,1840,0.503,1
1147,1845,1.023,1
1148,1846,0.512,1
1149,1847,1.024,1
1150,1848,1.024,1
1151,1849,1.024,1
1152,1850,0.511,1
1153,1851,1.024,0
1154,1852,0.511,0
1155,1853,1.024,1
1156,1855,0.512,1
1157,1856,1.024,1
1158,1857,0.512,1
1159,1858,0.512,
1160,1859,1.024,
1161,1860,1.024,1
1162,1861,1.024,1
1163,1862,1.024,1
1164,1863,2.048,
1165,1864,2.048,1
1166,1865,1.024,1
1167,1866,0.767,1
1168,1867,0.511,0
1169,1868,0.512,1
1170,1869,2.047,1
1171,1873,1.023,1
1172,1876,0.256,1
1173,1877,0.511,0
1174,1878,0.767,1
1175,1880,1.023,1
1176,1881,0.512,0
1177,1882,0.224,1
1178,1883,0.512,1
1179,1884,1.024,1
1180,1886,1.023,1
1181,1887,2.047,1
1182,1888,0.512,1
1183,1889,0.256,1
1184,1890,0.511,1
1185,1891,0.512,1
1186,1893,1.024,1
1187,1894,1.024,1
1188,1895,1.024,1
1189,1896,1.024,1
1190,1897,1.024,1
1191,1900,0.512,1
1192,1901,1.023,1
1193,1902,1.024,1
1194,1906,0.256,0
1195,1907,1.024,1
1196,1910,1.008,1
1197,1911,0.512,1
1198,1912,0.496,1
1199,1913,0.512,1
1200,1914,0.504,1
1201,1915,0.512,1
1202,1916,0.512,1
1203,1919,0.512,0
1204,1920,1.024,1
1205,1923,1.024,1
1206,1924,1.008,1
1207,1925,1.024,1
1208,1926,0.511,1
1209,1927,1.024,1
1210,1928,0.511,1
1211,1930,0.512,0
1212,1931,1.023,1
1213,1932,0.512,1
1214,1933,2.047,
1215,1934,1.023,1
1216,1935,0.512,0
1217,1937,0.512,1
1218,1938,1.024,1
1219,1939,1.024,1
1220,1940,1.024,
1221,1941,1.023,1
1222,1942,1.024,1
1223,1945,0.128,
1224,1946,1.024,1
1225,1947,0.512,1
1226,1950,0.511,1
1227,1951,0.512,1
1228,1953,0.48,1
1229,1954,0.512,1
1230,1955,0.512,
1231,1956,0.512,
1232,1958,0.204,1
1233,1960,0.496,1
1234,1963,0.512,1
1235,1964,0.512,1
1236,1965,0.448,1
1237,1966,0.512,1
1238,1967,1.024,1
1239,1968,1.024,1
1240,1969,0.479,1
1241,1971,0.512,1
1242,1972,1.023,1
1243,1973,0.512,1
1244,1974,0.48,1
1245,1975,0.512,1
1246,1976,0.512,1
1247,1977,1.023,1
1248,1980,0.512,1
1249,1982,0.992,1
1250,1983,1.536,1
1251,1986,0.992,1
1252,1987,0.247,1
1253,1988,0.512,1
1254,1989,1.024,1
1255,1990,1.024,1
1256,1992,1.023,1
1257,1993,1.536,1
1258,1995,0.192,0
1259,1997,0.768,1
1260,1999,0.512,
1261,2001,1.023,1
1262,2002,1.023,1
1263,2003,0.256,0
1264,2004,0.511,1
1265,2005,1.024,1
1266,2006,1.024,1
1267,2007,0.256,0
1268,2008,0.736,1
1269,2009,1.023,1
1270,2010,0.512,1
1271,2011,1.023,1
1272,2012,0.511,1
1273,2013,0.768,1
1274,2015,0.512,1
1275,2016,0.512,1
1276,2019,0.512,1
1277,2020,1.024,1
1278,2021,1.536,1
1279,2022,4.096,1
1280,2023,1.024,1
1281,2024,1.023,1
1282,2025,0.512,1
1283,2027,0.512,1
1284,2028,0.512,1
1285,2029,0.16,
1286,2030,0.24,0
1287,2031,0.512,1
1288,2032,0.192,0
1289,2036,1.023,1
1290,2037,1.023,1
1291,2038,1.023,1
1292,2040,1.023,1
1293,2041,0.768,0
1294,2042,1.024,1
1295,2043,0.511,1
1296,2044,0.511,1
1297,2046,0.511,1
1298,2047,0.512,1
1299,2048,0.496,
1300,2049,0.992,1
1301,2050,0.248,0
1302,2051,0.992,1
1303,2053,0.992,1
1304,2054,1.024,1
1305,2055,1.023,1
