,0,name,url,capacity,read_speed,write_speed,std_size,interface,type,thikness,PRICE
347,400,SUPER TALENT FE8128MD2D,https://kakaku.com/item/K0000685154/,128.0,110.0,95.0,2.5インチ,IDE,MLC,9.5mm,10230
348,401,トランセンド SSD420 TS128GSSD420K,https://kakaku.com/item/K0001056420/,128.0,570.0,470.0,2.5インチ,SerialATA6Gb/s,MLCNAND,6.8mm,11376
349,402,旭東エレクトロニクス SUNEAST SE800-480GB,https://kakaku.com/item/K0001062592/,480.0,530.0,500.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,11660
350,403,SANDISK X600 SD9SN8W-256G-1122,https://kakaku.com/item/K0001028343/,256.0,550.0,525.0,M.2(Type2280),SerialATA6Gb/s,3DTLCNAND(nCache2.0：SLC/TLC),2.23mm,12724
351,404,キングストン KC2000 NVMe PCIe SSD SKC2000M8/500G,https://kakaku.com/item/K0001226689/,500.0,3000.0,2000.0,M.2(Type2280),PCI-Express,3DTLC,3.5mm,13897
352,406,エレコム ESD-EJ1000GBK [ブラック],https://kakaku.com/item/K0001214598/,1000.0,400.0,320.0,0,USB,0,0,14276
353,407,IODATA SSPG-USC1NV,https://kakaku.com/item/K0001210684/,1000.0,530.0,460.0,0,USB,0,0,15794
354,408,キングストン KC600 SSD SKC600/1024G,https://kakaku.com/item/K0001221978/,1024.0,550.0,530.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,17634
355,409,バッファロー SSD-PL1.9U3-BK/N [ブラック],https://kakaku.com/item/K0001188254/,1900.0,340.0,320.0,0,USB,0,0,23800
356,410,トランセンド JetDrive 500 TS480GJDM500,https://kakaku.com/item/K0000680350/,480.0,570.0,460.0,0,SerialATA6Gb/s,MLC,0,24800
357,411,キングストン UV500 SSD SUV500/1920G,https://kakaku.com/item/K0001145219/,1920.0,520.0,500.0,2.5インチ,SerialATA6Gb/s,3DTLC,7mm,37289
358,412,HGST G-DRIVE mobile SSD R-Series 1000GB 0G06053,https://kakaku.com/item/K0001031114/,1000.0,560.0,560.0,0,USB,0,0,39654
359,414,インテル Optane SSD 900P SSDPED1D480GASX,https://kakaku.com/item/K0001012880/,480.0,2500.0,2000.0,0,PCI-Express,3DXpoint,0,56762
360,416,インテル Optane SSD 905P SSDPED1D015TAX1,https://kakaku.com/item/K0001102556/,1500.0,2600.0,2200.0,0,PCI-Express,3DXpoint,0,274799
361,417,J&A Information LEVEN JS300 SSD JS300SSD120GB,https://kakaku.com/item/K0001025649/,120.0,560.0,410.0,2.5インチ,SerialATA6Gb/s,0,7mm,2399
362,418,バッファロー SSD-PM120U3A-S [シルバー],https://kakaku.com/item/K0000959499/,120.0,421.6,370.0,0,USB,0,0,2979
363,419,トランセンド TS64GMSA230S,https://kakaku.com/item/K0001121787/,64.0,550.0,400.0,mSATA,SerialATA6Gb/s,3DNAND,4.85mm,2980
364,420,バッファロー SSD-PM120U3A-R [レッド],https://kakaku.com/item/K0001208868/,120.0,421.6,370.0,0,USB,0,0,3163
365,421,トランセンド TS128GMSA230S,https://kakaku.com/item/K0001121788/,128.0,550.0,400.0,mSATA,SerialATA6Gb/s,3DNAND,4.85mm,4020
366,422,エレコム ESD-JEC0240GWH [ホワイト],https://kakaku.com/item/K0001082291/,240.0,350.0,350.0,0,USB,TLC,0,4280
367,423,バッファロー SSD-PL240U3-BK/N [ブラック],https://kakaku.com/item/K0000986769/,240.0,340.0,320.0,0,USB,0,0,4446
368,424,グリーンハウス GH-SSDU3C240,https://kakaku.com/item/K0001222103/,240.0,380.0,340.0,0,USB,TLC,0,4998
369,427,エレコム ESD-EC0120GRD [レッド],https://kakaku.com/item/K0001038559/,120.0,410.0,400.0,0,USB,TLC,0,5471
370,428,Silicon Power Bolt B75 SP256GBPSDB75SCS [シルバー],https://kakaku.com/item/K0001166501/,256.0,440.0,430.0,0,USB,0,0,5700
371,429,SUPER TALENT FE8032MD2D,https://kakaku.com/item/K0000685152/,32.0,110.0,95.0,2.5インチ,IDE,MLC,9.5mm,5940
372,430,crucial MX500 CT250MX500SSD4/JP,https://kakaku.com/item/K0001051513/,250.0,560.0,510.0,M.2(Type2280),SerialATA6Gb/s,3DTLCNAND,0,6028
373,431,ADATA Ultimate SU800 M.2 2280 ASU800NS38-256GT-C,https://kakaku.com/item/K0000921328/,256.0,560.0,520.0,M.2(Type2280),SerialATA6Gb/s,3DTLC,3.5mm,6110
374,432,WESTERN DIGITAL WD Blue 3D NAND SATA WDS250G2B0A+EXT,https://kakaku.com/item/K0001217635/,250.0,550.0,525.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,6138
375,433,サムスン 850 EVO MZ-75E250B/IT,https://kakaku.com/item/K0000725581/,250.0,540.0,520.0,2.5インチ,SerialATA6Gb/s,3DV-NAND,6.8mm,6280
376,434,ADATA XPG SX6000 Lite ASX6000LNP-256GT-C,https://kakaku.com/item/K0001127376/,256.0,1800.0,900.0,M.2(Type2280),PCI-Express,3DNAND,2.15mm,6440
377,435,サムスン 860 EVO M.2 MZ-N6E250B/IT,https://kakaku.com/item/K0001027998/,250.0,550.0,520.0,M.2(Type2280),SerialATA6Gb/s,V-NAND3bitMLC,2.38mm,6511
378,436,トランセンド MTS800 TS128GMTS800S,https://kakaku.com/item/K0001018671/,128.0,500.0,450.0,M.2(Type2280),SerialATA6Gb/s,NANDMLC,3.58mm,6540
379,437,トランセンド TS240GESD240C [シルバー],https://kakaku.com/item/K0001140438/,240.0,520.0,460.0,0,USB,3DNAND,0,6850
380,438,LITEON MU 3 PH6-CE480-L4,https://kakaku.com/item/K0001140221/,480.0,560.0,500.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,7558
381,439,サムスン T5 MU-PA250B/IT [ブルー],https://kakaku.com/item/K0000990361/,250.0,540.0,540.0,0,USB,V-NAND,0,7560
382,442,グリーンハウス GH-SSDU3C480,https://kakaku.com/item/K0001222104/,480.0,380.0,340.0,0,USB,TLC,0,7998
383,443,ADATA Ultimate SU630 ASU630SS-480GQ-R,https://kakaku.com/item/K0001119258/,480.0,520.0,450.0,2.5インチ,SerialATA6Gb/s,3DQLC,7mm,8107
384,444,キングストン UV500 SSD SUV500/480G,https://kakaku.com/item/K0001051224/,480.0,520.0,500.0,2.5インチ,SerialATA6Gb/s,3DTLC,7mm,8393
385,447,トランセンド JetDrive 420 TS240GJDM420,https://kakaku.com/item/K0000690810/,240.0,570.0,310.0,0,SerialATA6Gb/s,同期型MLC,0,8980
386,449,エレコム ESD-EC0480GWH [ホワイト],https://kakaku.com/item/K0001152654/,480.0,410.0,400.0,0,USB,TLC,0,9090
387,450,GIGABYTE AORUS GP-ASM2NE2256GTTDR,https://kakaku.com/item/K0001152202/,256.0,3100.0,1050.0,M.2(Type2280),PCI-Express,3DTLC,8.1mm,9142
388,451,キングストン KC2000 NVMe PCIe SSD SKC2000M8/250G,https://kakaku.com/item/K0001226688/,250.0,3000.0,1100.0,M.2(Type2280),PCI-Express,3DTLC,3.5mm,9386
389,452,バッファロー SSD-PH250U3-BA [ブラック],https://kakaku.com/item/K0001147810/,250.0,1000.0,900.0,0,USB,0,0,9833
390,453,Colorful P100 1TB,https://kakaku.com/item/K0001126202/,1000.0,550.0,500.0,0,USB,3DTLCNAND,0,11800
391,454,Colorful SL500 960G,https://kakaku.com/item/K0001051226/,960.0,550.0,500.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,11800
392,455,エレコム ESD-EF0500GBK [ブラック],https://kakaku.com/item/K0001188705/,500.0,430.0,410.0,0,USB,0,0,11810
393,456,addlink S20 ad1TBS20S3S,https://kakaku.com/item/K0001217881/,1000.0,560.0,500.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,12480
394,457,PLEXTOR M9PeGN PX-256M9PeGN,https://kakaku.com/item/K0001024379/,256.0,3000.0,1000.0,M.2(Type2280),PCI-Express,BiCS33DTLC,2.3mm,12730
395,458,サムスン 850 EVO MZ-75E500B/IT,https://kakaku.com/item/K0000725580/,500.0,540.0,520.0,2.5インチ,SerialATA6Gb/s,3DV-NAND,6.8mm,12800
396,460,トランセンド TS480GESD350C [ネイビーブルー],https://kakaku.com/item/K0001162152/,480.0,1050.0,950.0,0,USB,3DNAND,0,13480
397,461,IODATA GigaCrysta E.A.G.L SSPX-GC512G,https://kakaku.com/item/K0001204457/,512.0,450.0,440.0,0,USB,0,0,13765
398,462,ADATA Ultimate SU750 ASU750SS-1TT-C,https://kakaku.com/item/K0001143803/,1000.0,550.0,520.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,14278
399,464,ADATA Ultimate SU630 ASU630SS-960GQ-R,https://kakaku.com/item/K0001119257/,960.0,520.0,450.0,2.5インチ,SerialATA6Gb/s,3DQLC,7mm,15003
400,465,WESTERN DIGITAL WD Black NVMe WDS500G2X0C,https://kakaku.com/item/K0001054465/,500.0,3400.0,2500.0,M.2(Type2280),PCI-Express,3DNAND,2.38mm,15840
401,467,グリーンハウス GH-SSDRMPA960,https://kakaku.com/item/K0001147813/,960.0,3400.0,3000.0,M.2(Type2280),PCI-Express,3DTLC,3mm,16450
402,468,SUPER TALENT DuraDrive ZT4 FEU256MD1X,https://kakaku.com/item/K0000857255/,256.0,112.0,90.0,1.8インチ,ZIF,MLC,5mm,16500
403,469,PLEXTOR M9Pe(Y) PX-512M9PeY,https://kakaku.com/item/K0001024374/,512.0,3200.0,2000.0,0,PCI-Express,BiCS33DTLC,22.39mm,16891
