,0,name,url,processor_name,maker,type,clock,max_clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
0,217,インテル Xeon E5-2603 v4 BOX,https://kakaku.com/item/K0000869925/,XeonE5-2603V4 (Broadwell-EP),インテル,LGA2011-3,1.7,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,15000.0,26462.0
1,125,インテル Xeon Bronze 3104 BOX,https://kakaku.com/item/K0001006707/,XeonBronze3104 (Skylake-SP),インテル,LGA3647,1.7,0.0,6.0,6.0,0.0,0.0,1.0,8250.0,0.0,0.0,26839.0
2,104,インテル Xeon E5-2609 v4 BOX,https://kakaku.com/item/K0000869927/,XeonE5-2609V4 (Broadwell-EP),インテル,LGA2011-3,1.7,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,20000.0,36647.0
3,130,インテル Xeon Bronze 3106 BOX,https://kakaku.com/item/K0000982872/,XeonBronze3106 (Skylake-SP),インテル,LGA3647,1.7,0.0,8.0,8.0,0.0,0.0,1.0,11000.0,0.0,0.0,37949.0
4,286,インテル Xeon E5-2650L BOX,https://kakaku.com/item/K0000348856/,XeonE5-2650L,インテル,LGA2011,1.8,2.3,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,294796.0
5,229,インテル Xeon Silver 4108 BOX,https://kakaku.com/item/K0000982868/,XeonSilver4108 (Skylake-SP),インテル,LGA3647,1.8,3.0,8.0,16.0,0.0,0.0,1.0,11000.0,0.0,0.0,52750.0
6,102,インテル Xeon Bronze 3204 BOX,https://kakaku.com/item/K0001159423/,XeonBronze3204 (CascadeLake-SP),インテル,LGA3647,1.9,1.9,6.0,6.0,0.0,0.0,1.0,8250.0,0.0,0.0,27918.0
7,253,インテル Xeon E5-4603 BOX,https://kakaku.com/item/K0000377277/,XeonE5-4603,インテル,LGA2011,2.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,10000.0,142702.0
8,264,インテル Xeon E5-2660 v4 BOX,https://kakaku.com/item/K0000869941/,XeonE5-2660V4 (Broadwell-EP),インテル,LGA2011-3,2.0,3.2,14.0,28.0,0.0,0.0,1.0,35000.0,0.0,0.0,184799.0
9,289,インテル Xeon Gold 6138 BOX,https://kakaku.com/item/K0000982852/,XeonGold6138 (Skylake-SP),インテル,LGA3647,2.0,3.7,20.0,40.0,0.0,0.0,1.0,27500.0,0.0,0.0,321990.0
10,302,インテル Xeon Platinum 8164 BOX,https://kakaku.com/item/K0001006706/,XeonPlatinum8164 (Skylake-SP),インテル,LGA3647,2.0,3.7,26.0,52.0,0.0,0.0,1.0,35750.0,0.0,0.0,747990.0
11,167,インテル Xeon E5-2620 v4 BOX,https://kakaku.com/item/K0000869929/,XeonE5-2620V4 (Broadwell-EP),インテル,LGA2011-3,2.1,3.0,8.0,16.0,0.0,0.0,0.0,0.0,1.0,20000.0,50723.0
