,hdd_ssd,read_speed,write_speed,PRICE
257,1,360.0,360.0,19500
258,1,380.0,340.0,7998
259,1,400.0,300.0,8980
260,1,400.0,390.0,7950
261,1,400.0,400.0,28780
262,1,410.0,400.0,8962
263,1,421.6,370.0,7888
264,1,430.0,400.0,22480
265,1,430.0,430.0,16296
266,1,440.0,430.0,6358
267,1,500.0,430.0,13291
268,1,500.0,450.0,5760
269,1,500.0,480.0,10380
270,1,520.0,450.0,4999
271,1,520.0,460.0,9980
272,1,520.0,500.0,5473
273,1,525.0,465.0,5680
274,1,530.0,450.0,6135
275,1,530.0,460.0,8380
276,1,530.0,500.0,5980
277,1,535.0,445.0,6041
278,1,538.0,491.0,9020
279,1,540.0,500.0,5790
280,1,550.0,470.0,38280
281,1,550.0,480.0,5459
282,1,550.0,490.0,7700
283,1,550.0,500.0,7720
284,1,550.0,510.0,5478
285,1,550.0,520.0,6430
286,1,550.0,530.0,9246
287,1,555.0,540.0,10980
288,1,560.0,450.0,6250
289,1,560.0,480.0,5979
290,1,560.0,490.0,15510
291,1,560.0,500.0,5940
292,1,560.0,510.0,5590
293,1,560.0,520.0,11675
294,1,570.0,460.0,24800
295,1,570.0,470.0,15980
296,1,750.0,700.0,12980
297,1,850.0,850.0,19530
298,1,950.0,800.0,22800
299,1,1000.0,900.0,13624
300,1,1050.0,950.0,13480
301,1,1400.0,750.0,22270
302,1,1500.0,900.0,9900
303,1,1500.0,1300.0,6600
304,1,1600.0,1040.0,11402
305,1,1600.0,1300.0,21366
306,1,2500.0,2000.0,56762
307,1,2600.0,2200.0,75328
308,1,2650.0,1450.0,17073
309,1,3000.0,2400.0,29409
310,1,3200.0,1700.0,17295
311,1,3400.0,2000.0,8249
312,1,3480.0,2000.0,9780
313,1,370.0,200.0,11732
314,1,400.0,320.0,8793
315,1,425.0,425.0,18480
316,1,430.0,400.0,13170
317,1,430.0,410.0,11696
318,1,450.0,450.0,23980
319,1,530.0,490.0,7900
320,1,540.0,520.0,20438
321,1,540.0,540.0,9990
322,1,550.0,520.0,7700
323,1,560.0,500.0,17300
324,1,560.0,510.0,6928
325,1,560.0,515.0,5478
326,1,560.0,530.0,6990
327,1,560.0,540.0,7100
328,1,560.0,560.0,21180
329,1,950.0,900.0,12980
330,1,1000.0,900.0,15558
331,1,1700.0,1450.0,8710
332,1,1900.0,950.0,8280
333,1,2000.0,1600.0,6578
334,1,2200.0,2000.0,16274
335,1,2400.0,1750.0,7480
336,1,2800.0,2100.0,38072
337,1,3200.0,1800.0,18600
338,1,3400.0,2500.0,12480
339,1,3470.0,2600.0,12880
340,1,3500.0,3200.0,14989
341,1,4950.0,2500.0,15980
342,1,5000.0,2500.0,12650
343,1,270.0,250.0,22400
344,1,400.0,400.0,21800
345,1,410.0,380.0,31450
346,1,440.0,430.0,6908
347,1,450.0,440.0,13765
348,1,500.0,450.0,20980
349,1,500.0,500.0,23426
350,1,520.0,450.0,40788
351,1,530.0,500.0,5759
352,1,535.0,455.0,20405
353,1,545.0,490.0,37980
354,1,550.0,460.0,19940
355,1,550.0,500.0,7280
356,1,550.0,520.0,6350
357,1,550.0,525.0,5619
358,1,550.0,530.0,10980
359,1,556.0,519.0,4980
360,1,560.0,310.0,25442
361,1,560.0,460.0,5880
362,1,560.0,500.0,7680
363,1,560.0,510.0,10900
364,1,560.0,520.0,6468
365,1,560.0,525.0,22879
366,1,560.0,530.0,6913
367,1,570.0,470.0,33171
368,1,1500.0,1000.0,7280
369,1,1624.0,1473.0,5680
370,1,1700.0,1450.0,8273
371,1,1700.0,1500.0,7680
372,1,1730.0,1560.0,7920
373,1,1775.0,560.0,23941
374,1,1800.0,1200.0,11798
375,1,2100.0,1500.0,18077
376,1,2200.0,1600.0,7580
377,1,2450.0,1000.0,17337
378,1,2500.0,1100.0,11000
379,1,3200.0,2000.0,11445
380,1,3230.0,1625.0,11980
381,1,3400.0,2000.0,8980
382,1,3420.0,2015.0,10010
383,1,3430.0,2230.0,14493
384,1,3480.0,2000.0,14237
385,1,3500.0,2100.0,9480
386,1,3500.0,2350.0,8360
387,1,530.0,450.0,8613
388,1,533.0,476.0,16318
389,1,530.0,450.0,11286
390,1,300.0,200.0,12800
391,1,340.0,300.0,11480
392,1,340.0,320.0,10980
393,1,380.0,340.0,12998
394,1,410.0,400.0,17086
395,1,440.0,430.0,11858
396,1,450.0,380.0,19399
397,1,500.0,430.0,22780
398,1,500.0,480.0,22740
399,1,500.0,490.0,66527
400,1,520.0,450.0,9900
401,1,520.0,460.0,16800
402,1,520.0,500.0,17560
403,1,530.0,460.0,12980
404,1,530.0,500.0,10255
405,1,535.0,450.0,11999
406,1,540.0,500.0,11550
407,1,550.0,450.0,33690
408,1,550.0,480.0,20606
409,1,550.0,490.0,14410
410,1,550.0,500.0,12900
411,1,550.0,510.0,9980
412,1,560.0,450.0,9878
413,1,560.0,500.0,19802
414,1,560.0,510.0,26970
415,1,560.0,520.0,9690
416,1,560.0,525.0,8998
417,1,560.0,530.0,39949
418,1,570.0,460.0,45980
419,1,750.0,700.0,23800
420,1,850.0,850.0,29390
421,1,950.0,950.0,29808
422,1,1000.0,950.0,22663
423,1,1050.0,950.0,21980
424,1,1500.0,1000.0,24182
425,1,1600.0,1080.0,21255
426,1,1600.0,1400.0,32800
427,1,2600.0,2200.0,157600
428,1,3150.0,1700.0,35627
429,1,3400.0,3000.0,15979
430,1,3480.0,3000.0,15314
431,1,264.77,240.7,107800
432,1,279.44,251.03,59800
433,1,400.0,320.0,15442
434,1,410.0,380.0,180902
435,1,425.0,425.0,54793
436,1,430.0,400.0,21970
437,1,430.0,420.0,21640
438,1,440.0,430.0,12800
439,1,450.0,440.0,21985
440,1,450.0,450.0,43780
441,1,500.0,450.0,39702
442,1,500.0,500.0,41060
443,1,530.0,460.0,12850
444,1,535.0,450.0,11000
445,1,540.0,520.0,21949
446,1,540.0,540.0,19500
447,1,550.0,500.0,11800
448,1,550.0,520.0,11816
449,1,550.0,525.0,11616
450,1,560.0,460.0,34920
451,1,560.0,500.0,12480
452,1,560.0,510.0,10900
453,1,560.0,520.0,13980
454,1,560.0,525.0,34723
455,1,560.0,530.0,11990
456,1,560.0,540.0,12080
457,1,560.0,560.0,39654
458,1,570.0,450.0,105510
459,1,570.0,470.0,71961
460,1,570.0,550.0,12455
461,1,763.0,616.0,94380
462,1,950.0,900.0,20150
463,1,1000.0,1000.0,22514
464,1,1500.0,1000.0,74480
465,1,1700.0,1500.0,13800
466,1,1800.0,1200.0,23860
467,1,2000.0,1700.0,12380
468,1,2100.0,1600.0,10978
469,1,2200.0,1600.0,13800
470,1,2400.0,1950.0,13480
471,1,2450.0,1000.0,34497
472,1,3200.0,1900.0,32500
473,1,3200.0,2100.0,22000
474,1,3400.0,2600.0,17464
475,1,3400.0,2800.0,24800
476,1,3400.0,3000.0,14980
477,1,3430.0,3230.0,27715
478,1,3470.0,3000.0,22800
479,1,3480.0,3080.0,30927
480,1,3500.0,2800.0,14980
481,1,3500.0,3000.0,16478
482,1,3500.0,3300.0,27989
483,1,4950.0,4250.0,24452
484,1,5000.0,4400.0,20405
485,1,550.0,500.0,28490
486,1,550.0,520.0,17880
487,1,550.0,530.0,14180
488,1,1800.0,1800.0,11980
489,1,2800.0,2300.0,76349
490,1,3230.0,1625.0,24224
491,1,3470.0,2750.0,18370
492,1,3500.0,2100.0,88198
493,1,530.0,510.0,33313
494,1,2500.0,1200.0,209530
495,1,2600.0,2200.0,274800
496,1,340.0,320.0,23800
497,1,500.0,490.0,129708
498,1,520.0,500.0,41846
499,1,540.0,520.0,55440
500,1,560.0,510.0,51727
501,1,3480.0,2700.0,35980
502,1,425.0,425.0,96309
503,1,450.0,450.0,122346
504,1,530.0,460.0,24552
505,1,540.0,540.0,49800
506,1,550.0,500.0,21888
507,1,550.0,520.0,30534
508,1,560.0,510.0,26940
509,1,560.0,520.0,27980
510,1,560.0,530.0,24840
511,1,560.0,540.0,32780
512,1,560.0,560.0,72360
513,1,3400.0,2900.0,46689
514,1,3470.0,2750.0,42680
515,1,3500.0,3000.0,29348
516,1,3500.0,3300.0,60907
517,1,4950.0,4250.0,47980
518,1,5000.0,4400.0,51474
519,1,530.0,500.0,35800
520,1,1800.0,1800.0,22739
521,1,2800.0,2300.0,152918
522,1,3230.0,1625.0,48448
523,1,530.0,510.0,70527
524,1,500.0,470.0,275517
525,1,560.0,510.0,91690
526,1,550.0,520.0,66183
527,1,560.0,530.0,55980
528,1,15000.0,15000.0,216444
