,SP,m_cap,m_bus,m_clock,PRICE
0,2048.0,8000.0,256.0,7000.0,17800.0
1,2560.0,8000.0,256.0,14000.0,49480.0
2,896.0,4000.0,128.0,8000.0,15980.0
3,2560.0,8000.0,256.0,14000.0,56919.0
4,896.0,4000.0,128.0,8000.0,15400.0
5,1408.0,6000.0,192.0,14000.0,29480.0
6,1408.0,6000.0,192.0,14000.0,25691.0
7,1536.0,6000.0,192.0,12000.0,30580.0
8,2304.0,8000.0,256.0,14000.0,38178.0
9,2304.0,8000.0,256.0,14000.0,36999.0
10,1408.0,6000.0,192.0,14000.0,27860.0
11,1408.0,6000.0,192.0,14000.0,28799.0
12,3072.0,8000.0,256.0,15500.0,83002.0
13,4352.0,11000.0,352.0,14000.0,153868.0
14,2304.0,8000.0,256.0,14000.0,49808.0
15,384.0,2000.0,64.0,6008.0,8778.0
16,1536.0,6000.0,192.0,12000.0,32978.0
17,768.0,4000.0,128.0,7008.0,12078.0
18,192.0,1000.0,64.0,1600.0,3212.0
19,2176.0,8000.0,256.0,14000.0,45980.0
20,2560.0,8000.0,256.0,14000.0,59378.0
21,768.0,4000.0,128.0,7008.0,13970.0
22,896.0,4000.0,128.0,8002.000000000001,15995.0
23,1920.0,6000.0,192.0,14000.0,35979.0
24,896.0,2000.0,128.0,6000.0,9328.0
25,384.0,2000.0,64.0,6008.0,8950.0
26,4096.0,8000.0,2048.0,945.0,31980.0
27,1920.0,6000.0,192.0,14000.0,39800.0
28,1920.0,6000.0,192.0,14000.0,34628.0
29,2048.0,4000.0,256.0,7000.0,15980.0
30,2560.0,8000.0,256.0,14000.0,55273.0
31,896.0,4000.0,128.0,8000.0,16830.0
32,2304.0,8000.0,256.0,8000.0,20680.0
33,896.0,4000.0,128.0,8000.0,18070.0
34,1536.0,6000.0,192.0,12000.0,34181.0
35,2176.0,8000.0,256.0,14000.0,48180.0
36,2560.0,8000.0,256.0,14000.0,71633.0
37,2304.0,8000.0,256.0,8000.0,21700.0
38,1408.0,6000.0,192.0,14000.0,27244.0
39,896.0,4000.0,128.0,8000.0,19005.0
40,192.0,1000.0,64.0,5000.0,3380.0
41,3072.0,8000.0,256.0,15500.0,96799.0
42,1280.0,4000.0,128.0,12000.0,20888.0
43,2560.0,8000.0,256.0,14000.0,46980.0
44,1280.0,4000.0,128.0,12000.0,21307.0
45,2176.0,8000.0,256.0,14000.0,44800.0
46,2176.0,8000.0,256.0,14000.0,47247.0
47,512.0,2000.0,128.0,6000.0,7018.0
48,768.0,4000.0,128.0,7000.0,12111.0
49,2560.0,8000.0,256.0,14000.0,49301.0
50,2176.0,8000.0,256.0,14000.0,52778.0
51,2304.0,6000.0,192.0,12000.0,37719.0
52,2560.0,8000.0,256.0,14000.0,56078.0
53,768.0,4000.0,128.0,7008.0,13980.0
54,2560.0,8000.0,256.0,14000.0,69780.0
55,1408.0,6000.0,192.0,14000.0,27208.0
56,4352.0,11000.0,352.0,14000.0,143283.0
57,4352.0,11000.0,352.0,14000.0,162799.0
58,1280.0,4000.0,128.0,12000.0,20480.0
59,1280.0,4000.0,128.0,12002.0,21390.0
60,896.0,4000.0,128.0,8000.0,15787.0
61,1280.0,4000.0,128.0,12000.0,19800.0
62,3072.0,8000.0,256.0,15500.0,85851.0
63,1408.0,4000.0,128.0,14000.0,21978.0
64,1408.0,6000.0,192.0,14000.0,28145.0
65,2304.0,8000.0,256.0,14000.0,51309.0
66,896.0,4000.0,128.0,8000.0,17590.0
67,1408.0,8000.0,128.0,14000.0,24979.0
68,3840.0,16000.0,4096.0,1000.0,97156.0
69,1408.0,4000.0,128.0,14000.0,22422.0
70,2560.0,8000.0,256.0,14000.0,47498.0
71,4352.0,11000.0,352.0,14000.0,142669.0
72,768.0,4000.0,128.0,3500.0,18012.0
73,896.0,4000.0,128.0,8002.000000000001,19367.0
74,1408.0,6000.0,192.0,8000.0,24207.0
75,2560.0,8000.0,256.0,14000.0,46919.0
76,2560.0,8000.0,256.0,14000.0,59799.0
77,4096.0,8000.0,2048.0,945.0,34980.0
78,1536.0,6000.0,192.0,12002.0,41299.0
79,1408.0,6000.0,192.0,8002.000000000001,25278.0
80,2560.0,8000.0,256.0,14000.0,67980.0
81,896.0,4000.0,128.0,8002.000000000001,19264.0
82,1408.0,6000.0,192.0,8000.0,28050.0
83,192.0,2000.0,64.0,1600.0,4378.0
84,2560.0,8000.0,256.0,14000.0,53549.0
85,2560.0,8000.0,256.0,14000.0,59950.0
86,1920.0,6000.0,192.0,14000.0,36531.0
87,2560.0,8000.0,256.0,14000.0,68138.0
88,2304.0,8000.0,256.0,14000.0,47980.0
89,2560.0,8000.0,256.0,14000.0,61900.0
90,2560.0,8000.0,256.0,15500.0,79750.0
91,896.0,4000.0,128.0,8002.000000000001,21980.0
92,3072.0,8000.0,256.0,15500.0,98780.0
93,4352.0,11000.0,352.0,14000.0,134200.0
94,192.0,1000.0,64.0,1000.0,3280.0
95,640.0,2000.0,128.0,6000.0,10557.0
96,1408.0,6000.0,192.0,14002.0,30279.0
97,2560.0,8000.0,256.0,14000.0,58800.0
98,2560.0,8000.0,256.0,14000.0,60478.0
99,1408.0,8000.0,128.0,14000.0,24725.0
100,1408.0,6000.0,192.0,14000.0,30980.0
101,1536.0,6000.0,192.0,12000.0,41580.0
102,2560.0,8000.0,256.0,14000.0,57750.0
103,2560.0,8000.0,256.0,14000.0,61600.0
104,1920.0,6000.0,192.0,14000.0,37649.0
