0,ASUS PH-GTX1650-O4G [PCIExp 4GB],https://kakaku.com/item/K0001152734/,NVIDIA GeForceGTX1650,896,4.0,128.0,8002.000000000001,PCIExpress3.0,15980
1,MSI Radeon RX 580 ARMOR 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001132779/,AMD RadeonRX580,2304,8.0,256.0,8000.0,PCIExpress3.0x16,18616
2,SAPPHIRE SAPPHIRE NITRO+ RADEON RX 5700 XT 8G GDDR6 DUAL HDMI/DUAL DP OC (UEFI) [PCIExp 8GB],https://kakaku.com/item/K0001195293/,AMD RadeonRX5700XT,2560,8.0,256.0,14000.0,PCIExpress4.0x16,45890
3,玄人志向 GALAKURO GAMING GG-GTX1660SP-E6GB/DF [PCIExp 6GB],https://kakaku.com/item/K0001206481/,NVIDIA GeForceGTX1660SUPER,1408,6.0,192.0,14000.0,PCIExpress3.0x16,25581
4,MSI GeForce GTX 1650 AERO ITX 4G OC [PCIExp 4GB],https://kakaku.com/item/K0001152736/,NVIDIA GeForceGTX1650,896,4.0,128.0,8000.0,PCIExpress3.0x16,16500
5,Palit Microsystems NE6207SS19P2-1040J (GeForce RTX2070 SUPER JS 8GB) [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001173640/,NVIDIA GeForceRTX2070SUPER,2560,8.0,256.0,14000.0,PCIExpress3.0x16,56980
6,ASUS PH-GTX1050TI-4G [PCIExp 4GB],https://kakaku.com/item/K0000920443/,NVIDIA GeForceGTX1050Ti,768,4.0,128.0,7008.0,PCIExpress3.0,12980
7,MSI GeForce GTX 1660 Ti AERO ITX 6G OC [PCIExp 6GB],https://kakaku.com/item/K0001134000/,NVIDIA GeForceGTX1660Ti,1536,6.0,192.0,12000.0,PCIExpress3.0x16,29595
8,ASUS ROG-STRIX-RTX2070S-A8G-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001181724/,NVIDIA GeForceRTX2070SUPER,2560,8.0,256.0,14000.0,PCIExpress3.0,65978
9,MSI GeForce GTX 1660 SUPER AERO ITX OC [PCIExp 6GB],https://kakaku.com/item/K0001206480/,NVIDIA GeForceGTX1660SUPER,1408,6.0,192.0,14000.0,PCIExpress3.0x16,25691
10,MSI GeForce GTX 1660 SUPER VENTUS XS OC [PCIExp 6GB],https://kakaku.com/item/K0001206479/,NVIDIA GeForceGTX1660SUPER,1408,6.0,192.0,14000.0,PCIExpress3.0x16,27821
11,MSI GeForce RTX 2070 TRI FROZR [PCIExp 8GB],https://kakaku.com/item/K0001220479/,NVIDIA GeForceRTX2070,2304,8.0,256.0,14000.0,PCIExpress3.0x16,49808
12,玄人志向 GF-GTX1650-E4GB/OC/DF [PCIExp 4GB],https://kakaku.com/item/K0001152723/,NVIDIA GeForceGTX1650,896,4.0,128.0,8000.0,PCIExpress3.0x16,14278
13,MSI Radeon RX Vega 64 Air Boost 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001056814/,AMD RadeonRXVega64,4096,8.0,2048.0,945.0,PCIExpress3.0x16,30798
14,MSI GeForce GTX 1650 4GT LP [PCIExp 4GB],https://kakaku.com/item/K0001168763/,NVIDIA GeForceGTX1650,896,4.0,128.0,8000.0,PCIExpress3.0x16,17170
15,MSI GT 1030 2G LP OC [PCIExp 2GB],https://kakaku.com/item/K0000965888/,NVIDIA GeForceGT1030,384,2.0,64.0,6008.0,PCIExpress3.0x4 接続スロット：PCI-Expressx16,8778
16,MSI Radeon RX Vega 64 Air Boost 8G [PCIExp 8GB],https://kakaku.com/item/K0001216734/,AMD RadeonRXVega64,4096,8.0,2048.0,945.0,PCIExpressx16,29980
17,MSI Radeon RX 5700 XT EVOKE OC [PCIExp 8GB],https://kakaku.com/item/K0001183627/,AMD RadeonRX5700XT,2560,8.0,256.0,14000.0,PCIExpress4.0x16,46460
18,SAPPHIRE SAPPHIRE PULSE RADEON RX 580 8G GDDR5 OC V2 [PCIExp 8GB],https://kakaku.com/item/K0001135567/,AMD RadeonRX580,2304,8.0,256.0,8000.0,PCIExpress3.0x16,22163
19,Palit Microsystems NE6206S018P2-1160A (GeForce RTX2060 SUPER DUAL 8GB) [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001176899/,NVIDIA GeForceRTX2060SUPER,2176,8.0,,14000.0,PCIExpress3.0x16,43980
20,玄人志向 GF-GTX1050Ti-E4GB/DF3 [PCIExp 4GB],https://kakaku.com/item/K0001173593/,NVIDIA GeForceGTX1050Ti,768,4.0,128.0,7008.0,PCIExpress3.0x16,12078
21,MSI GeForce RTX 2080 Ti GAMING X TRIO [PCIExp 11GB],https://kakaku.com/item/K0001082416/,NVIDIA GeForceRTX2080Ti,4352,11.0,352.0,14000.0,PCIExpress3.0x16,154072
22,ZOTAC ZOTAC GAMING GeForce RTX 2080 SUPER Twin Fan ZT-T20820F-10P [PCIExp 8GB],https://kakaku.com/item/K0001176807/,NVIDIA GeForceRTX2080SUPER,3072,8.0,256.0,15500.0,PCIExpress3.0x16,78101
23,ASRock Phantom Gaming Radeon RX560 2G [PCIExp 2GB],https://kakaku.com/item/K0001067652/,AMD RadeonRX560(14ユニット),896,2.0,128.0,6000.0,PCIExpress3.0x8 接続スロット：PCI-Expressx16,9328
24,GIGABYTE GV-N207SGAMING OC-8GD [PCIExp 8GB],https://kakaku.com/item/K0001218164/,NVIDIA GeForceRTX2070SUPER,2560,8.0,256.0,14000.0,PCIExpress3.0x16,62051
25,ASUS ROG-STRIX-RTX2080S-A8G-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001179208/,NVIDIA GeForceRTX2080SUPER,3072,8.0,256.0,15500.0,PCIExpress3.0,92516
26,玄人志向 GALAKURO GAMING GG-RTX2070SP-E8GB/DF [PCIExp 8GB],https://kakaku.com/item/K0001173224/,NVIDIA GeForceRTX2070SUPER,2560,8.0,256.0,14000.0,PCIExpress3.0x16,56078
27,玄人志向 GF-GTX1050Ti-E4GB/SF/P [PCIExp 4GB],https://kakaku.com/item/K0001176957/,NVIDIA GeForceGTX1050Ti,768,4.0,128.0,7000.0,PCIExpress3.0x16,12628
28,MSI GeForce RTX 2060 SUPER GAMING X [PCIExp 8GB],https://kakaku.com/item/K0001174638/,NVIDIA GeForceRTX2060SUPER,2176,8.0,256.0,14000.0,PCIExpress3.0x16,52778
29,ASUS GT1030-SL-2G-BRK [PCIExp 2GB],https://kakaku.com/item/K0000969293/,NVIDIA GeForceGT1030,384,2.0,64.0,6008.0,PCIExpress3.0,7980
30,MSI GT 710 1GD3H LP [PCIExp 1GB],https://kakaku.com/item/K0000849553/,NVIDIA GeForceGT710,192,1.0,64.0,1600.0,PCIExpress2.0x8 接続スロット：PCI-Expressx16,3498
31,PowerColor PowerColor RX 5500XT 4GB GDDR6 AXRX 5500XT 4GBD6-DH [PCIExp 4GB],https://kakaku.com/item/K0001219747/,AMD RadeonRX5500XT,1408,4.0,128.0,14000.0,PCIExpress4.0x16,22000
32,MSI GeForce GTX 1660 GAMING X 6G [PCIExp 6GB],https://kakaku.com/item/K0001140062/,NVIDIA GeForceGTX1660,1408,6.0,192.0,8000.0,PCIExpress3.0x16,30745
33,ASUS PH-GTX1660-O6G [PCIExp 6GB],https://kakaku.com/item/K0001140065/,NVIDIA GeForceGTX1660,1408,6.0,192.0,8002.000000000001,PCIExpress3.0,23524
