,capacity_sum,generation,PRICE
213,32.0,4.0,16770.0
214,32.0,4.0,17970.0
215,32.0,4.0,18780.0
216,32.0,4.0,19600.0
217,32.0,4.0,19610.0
218,32.0,4.0,22000.0
219,128.0,4.0,72736.0
220,4.0,4.0,2000.0
221,4.0,4.0,2180.0
222,4.0,4.0,2200.0
223,4.0,4.0,2393.0
224,4.0,4.0,2393.0
225,4.0,3.0,3240.0
226,8.0,3.0,3500.0
227,8.0,4.0,3811.0
228,16.0,4.0,6798.0
229,16.0,4.0,7580.0
230,16.0,4.0,7970.0
231,16.0,4.0,8078.0
232,16.0,4.0,8290.0
233,16.0,4.0,8900.0
234,16.0,4.0,9480.0
235,16.0,3.0,16980.0
236,32.0,4.0,20770.0
237,16.0,4.0,22980.0
238,32.0,4.0,25278.0
239,32.0,4.0,28300.0
240,64.0,4.0,33479.0
241,32.0,4.0,40571.0
242,64.0,4.0,43889.0
243,2.0,3.0,1106.0
244,4.0,4.0,2360.0
245,4.0,4.0,3210.0
246,4.0,4.0,3391.0
247,8.0,3.0,3480.0
248,4.0,3.0,3646.0
249,8.0,4.0,3880.0
250,8.0,4.0,3930.0
251,4.0,4.0,4158.0
252,8.0,3.0,4880.0
253,8.0,3.0,4920.0
254,8.0,4.0,4980.0
255,8.0,3.0,5090.0
256,8.0,3.0,5478.0
257,8.0,3.0,6980.0
258,16.0,4.0,7120.0
259,16.0,4.0,7570.0
260,16.0,4.0,8070.0
261,16.0,4.0,8930.0
262,16.0,4.0,11979.0
263,16.0,4.0,12100.0
264,32.0,4.0,12100.0
265,32.0,4.0,12780.0
266,16.0,4.0,13398.0
267,32.0,4.0,15628.0
268,32.0,4.0,15760.0
269,32.0,4.0,20672.0
270,32.0,4.0,24490.0
271,32.0,4.0,29900.0
272,64.0,4.0,32900.0
273,32.0,4.0,44100.0
274,64.0,4.0,85540.0
275,2.0,3.0,990.0
276,4.0,3.0,1566.0
277,4.0,3.0,2149.0
278,4.0,4.0,2180.0
279,8.0,4.0,3370.0
280,4.0,4.0,3391.0
281,8.0,3.0,3480.0
282,4.0,3.0,3780.0
283,8.0,4.0,4280.0
284,8.0,4.0,4380.0
285,8.0,4.0,4400.0
286,8.0,4.0,4610.0
287,8.0,4.0,4875.0
288,8.0,3.0,5220.0
289,8.0,3.0,5478.0
290,8.0,3.0,5500.0
291,8.0,4.0,5700.0
292,4.0,3.0,5758.0
293,16.0,4.0,6700.0
294,8.0,4.0,6766.0
295,16.0,4.0,6849.0
296,16.0,4.0,6936.0
297,16.0,4.0,6979.0
298,16.0,4.0,6980.0
299,16.0,3.0,7374.0
300,8.0,3.0,7609.0
301,16.0,4.0,7990.0
302,16.0,4.0,8149.0
303,16.0,4.0,8980.0
304,16.0,4.0,10063.0
305,16.0,4.0,10366.0
306,16.0,4.0,10800.0
307,16.0,4.0,11650.0
308,16.0,4.0,12980.0
309,32.0,4.0,13700.0
310,32.0,4.0,14240.0
311,16.0,4.0,14300.0
312,32.0,4.0,14980.0
313,32.0,4.0,16310.0
314,16.0,4.0,16588.0
315,32.0,4.0,17250.0
316,16.0,4.0,17320.0
317,16.0,4.0,17990.0
318,32.0,4.0,19280.0
319,32.0,4.0,19778.0
320,16.0,4.0,19900.0
321,16.0,4.0,24400.0
322,64.0,4.0,31000.0
323,16.0,4.0,33200.0
324,32.0,4.0,37500.0
325,64.0,4.0,39900.0
326,64.0,4.0,42052.0
327,64.0,4.0,44600.0
328,256.0,4.0,148100.0
329,1.0,1.0,800.0
