,hdd_ssd,capacity,read_speed,write_speed,PRICE
304,1,480.0,2650.0,1450.0,17073
305,1,480.0,3000.0,2400.0,29409
306,1,480.0,3200.0,1700.0,17295
307,1,480.0,3400.0,2000.0,8250
308,1,480.0,3480.0,2000.0,8580
309,1,500.0,370.0,200.0,11405
310,1,500.0,400.0,320.0,8793
311,1,500.0,425.0,425.0,18480
312,1,500.0,430.0,400.0,13170
313,1,500.0,430.0,410.0,11765
314,1,500.0,450.0,450.0,23980
315,1,500.0,530.0,490.0,10971
316,1,500.0,540.0,540.0,9990
317,1,500.0,550.0,520.0,6989
318,1,500.0,560.0,500.0,21625
319,1,500.0,560.0,510.0,6569
320,1,500.0,560.0,515.0,5368
321,1,500.0,560.0,530.0,6889
322,1,500.0,560.0,540.0,7106
323,1,500.0,560.0,560.0,21180
324,1,500.0,950.0,900.0,12980
325,1,500.0,1000.0,900.0,15558
326,1,500.0,1700.0,1450.0,7590
327,1,500.0,1900.0,950.0,7190
328,1,500.0,2000.0,1600.0,6578
329,1,500.0,2200.0,2000.0,7460
330,1,500.0,2800.0,2100.0,38072
331,1,500.0,3200.0,1800.0,18600
332,1,500.0,3400.0,2500.0,12480
333,1,500.0,3470.0,2600.0,10978
334,1,500.0,3500.0,3200.0,14989
335,1,500.0,4950.0,2500.0,15980
336,1,500.0,5000.0,2500.0,12078
337,1,512.0,270.0,250.0,22400
338,1,512.0,400.0,400.0,21800
339,1,512.0,410.0,380.0,23300
340,1,512.0,440.0,430.0,6908
341,1,512.0,450.0,440.0,13765
342,1,512.0,500.0,450.0,20980
343,1,512.0,500.0,500.0,23426
344,1,512.0,520.0,450.0,40788
345,1,512.0,530.0,500.0,5567
346,1,512.0,535.0,455.0,20405
347,1,512.0,550.0,460.0,19940
348,1,512.0,550.0,500.0,6780
349,1,512.0,550.0,520.0,6350
350,1,512.0,550.0,525.0,5910
351,1,512.0,556.0,519.0,4980
352,1,512.0,560.0,310.0,25442
353,1,512.0,560.0,460.0,5880
354,1,512.0,560.0,500.0,7680
355,1,512.0,560.0,510.0,10900
356,1,512.0,560.0,520.0,6980
357,1,512.0,560.0,525.0,13580
358,1,512.0,560.0,530.0,6098
359,1,512.0,570.0,470.0,33286
360,1,512.0,1000.0,950.0,11183
361,1,512.0,1500.0,1000.0,7280
362,1,512.0,1624.0,1473.0,5980
363,1,512.0,1700.0,1500.0,6980
364,1,512.0,1730.0,1560.0,7920
365,1,512.0,1775.0,560.0,23941
366,1,512.0,1800.0,1200.0,10159
367,1,512.0,2450.0,1000.0,17337
368,1,512.0,2500.0,1100.0,11000
369,1,512.0,3200.0,2000.0,10459
370,1,512.0,3230.0,1625.0,11684
371,1,512.0,3400.0,2000.0,8980
372,1,512.0,3420.0,2015.0,10010
373,1,512.0,3430.0,2230.0,14493
374,1,512.0,3480.0,2000.0,14237
375,1,512.0,3500.0,2100.0,7980
376,1,512.0,3500.0,2350.0,8360
377,1,512.0,3500.0,2400.0,8580
378,1,525.0,530.0,510.0,18473
379,1,640.0,530.0,450.0,7370
380,1,640.0,533.0,476.0,7570
381,1,720.0,530.0,450.0,11286
382,1,720.0,530.0,500.0,7700
383,1,960.0,300.0,200.0,13970
384,1,960.0,340.0,300.0,13093
385,1,960.0,340.0,320.0,11250
386,1,960.0,410.0,400.0,17941
387,1,960.0,431.0,373.0,11399
388,1,960.0,440.0,430.0,14319
389,1,960.0,450.0,380.0,17099
390,1,960.0,500.0,430.0,20668
391,1,960.0,500.0,480.0,16420
392,1,960.0,500.0,490.0,66534
393,1,960.0,520.0,450.0,8998
394,1,960.0,520.0,460.0,15699
395,1,960.0,520.0,500.0,17560
396,1,960.0,530.0,460.0,13978
397,1,960.0,530.0,500.0,9599
398,1,960.0,535.0,450.0,11999
399,1,960.0,540.0,500.0,9980
400,1,960.0,550.0,450.0,33690
401,1,960.0,550.0,480.0,24487
402,1,960.0,550.0,490.0,14410
403,1,960.0,550.0,500.0,22788
404,1,960.0,550.0,510.0,9328
405,1,960.0,560.0,450.0,8778
406,1,960.0,560.0,500.0,19802
407,1,960.0,560.0,510.0,26970
408,1,960.0,560.0,520.0,9690
409,1,960.0,560.0,525.0,8778
410,1,960.0,560.0,530.0,39949
411,1,960.0,570.0,460.0,45980
412,1,960.0,750.0,700.0,29800
413,1,960.0,850.0,850.0,29390
414,1,960.0,950.0,950.0,31322
415,1,960.0,1000.0,950.0,22663
416,1,960.0,1050.0,950.0,21980
417,1,960.0,1500.0,1000.0,24182
418,1,960.0,1600.0,1080.0,21262
419,1,960.0,1600.0,1400.0,32800
420,1,960.0,2600.0,2200.0,157600
421,1,960.0,3150.0,1700.0,35627
422,1,960.0,3400.0,3000.0,15980
423,1,960.0,3480.0,3000.0,14764
424,1,1000.0,264.77,240.7,107800
425,1,1000.0,279.44,251.03,59800
426,1,1000.0,400.0,320.0,15598
427,1,1000.0,410.0,380.0,180902
428,1,1000.0,425.0,425.0,51106
429,1,1000.0,430.0,400.0,21970
430,1,1000.0,430.0,420.0,21640
431,1,1000.0,440.0,430.0,12800
432,1,1000.0,450.0,440.0,21985
433,1,1000.0,450.0,450.0,43780
434,1,1000.0,500.0,450.0,39702
435,1,1000.0,500.0,500.0,41060
436,1,1000.0,530.0,460.0,18971
437,1,1000.0,535.0,450.0,11000
438,1,1000.0,540.0,520.0,28480
439,1,1000.0,540.0,540.0,19500
440,1,1000.0,550.0,500.0,11800
441,1,1000.0,550.0,520.0,10826
442,1,1000.0,550.0,525.0,12210
443,1,1000.0,560.0,460.0,34920
444,1,1000.0,560.0,470.0,9480
445,1,1000.0,560.0,500.0,12480
446,1,1000.0,560.0,510.0,10900
447,1,1000.0,560.0,520.0,12980
448,1,1000.0,560.0,525.0,34723
449,1,1000.0,560.0,530.0,10321
450,1,1000.0,560.0,540.0,12078
451,1,1000.0,560.0,560.0,39654
452,1,1000.0,570.0,450.0,70109
453,1,1000.0,570.0,470.0,72319
454,1,1000.0,570.0,550.0,12969
455,1,1000.0,763.0,616.0,94380
456,1,1000.0,950.0,900.0,20150
457,1,1000.0,1000.0,1000.0,24524
458,1,1000.0,1500.0,1000.0,74480
459,1,1000.0,1700.0,1500.0,13480
460,1,1000.0,1800.0,1200.0,10980
461,1,1000.0,2000.0,1700.0,10980
462,1,1000.0,2100.0,1600.0,10978
463,1,1000.0,2450.0,1000.0,34497
464,1,1000.0,3200.0,1900.0,32500
465,1,1000.0,3200.0,2100.0,22000
466,1,1000.0,3400.0,2600.0,19062
467,1,1000.0,3400.0,2800.0,24800
468,1,1000.0,3400.0,3000.0,14500
469,1,1000.0,3430.0,3230.0,27816
470,1,1000.0,3470.0,3000.0,22176
471,1,1000.0,3480.0,3080.0,30927
472,1,1000.0,3500.0,2800.0,14280
473,1,1000.0,3500.0,3000.0,16378
474,1,1000.0,3500.0,3300.0,27989
475,1,1000.0,4950.0,4250.0,23980
476,1,1000.0,5000.0,4400.0,20173
477,1,1024.0,550.0,500.0,24750
478,1,1024.0,1800.0,1800.0,10980
479,1,1024.0,2800.0,2300.0,76349
480,1,1024.0,3230.0,1625.0,22980
481,1,1024.0,3470.0,2750.0,18370
482,1,1024.0,3500.0,2100.0,88198
483,1,1050.0,530.0,510.0,33329
484,1,1200.0,2500.0,1200.0,209530
485,1,1500.0,2600.0,2200.0,274800
486,1,1900.0,340.0,320.0,23800
487,1,1900.0,500.0,490.0,129678
488,1,1920.0,520.0,500.0,38953
489,1,1920.0,540.0,520.0,55440
490,1,1920.0,560.0,510.0,37049
491,1,1920.0,850.0,850.0,51772
492,1,1920.0,3480.0,2700.0,35980
493,1,2000.0,425.0,425.0,94364
494,1,2000.0,450.0,450.0,122346
495,1,2000.0,530.0,460.0,35309
496,1,2000.0,540.0,540.0,49800
497,1,2000.0,550.0,500.0,21888
498,1,2000.0,550.0,520.0,30534
499,1,2000.0,560.0,510.0,25885
500,1,2000.0,560.0,520.0,26980
501,1,2000.0,560.0,530.0,24800
502,1,2000.0,560.0,540.0,29348
503,1,2000.0,560.0,560.0,72360
504,1,2000.0,3400.0,2900.0,46689
505,1,2000.0,3470.0,2750.0,42680
506,1,2000.0,3500.0,3000.0,29348
507,1,2000.0,3500.0,3300.0,59636
508,1,2000.0,4950.0,4250.0,48180
509,1,2000.0,5000.0,4400.0,52580
510,1,2048.0,530.0,500.0,35800
511,1,2048.0,1800.0,1800.0,22739
512,1,2048.0,2800.0,2300.0,150211
513,1,2048.0,3230.0,1625.0,44780
514,1,2050.0,530.0,510.0,47366
515,1,3800.0,500.0,470.0,61749
516,1,3840.0,560.0,510.0,91690
517,1,4000.0,550.0,520.0,66183
518,1,4000.0,560.0,530.0,55980
519,1,8000.0,15000.0,15000.0,217316
