0,CFD CSSD-S6B480CG3VX,https://kakaku.com/item/K0001132862/,480.0,550.0,510.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC(TMCBiCSフラッシュ),7mm,5258
1,crucial MX500 CT1000MX500SSD1/JP,https://kakaku.com/item/K0001028335/,1000.0,560.0,510.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,12980
2,crucial MX500 CT500MX500SSD1/JP,https://kakaku.com/item/K0001028334/,500.0,560.0,510.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,6979
3,crucial P1 CT1000P1SSD8JP,https://kakaku.com/item/K0001101038/,1000.0,2000.0,1700.0,M.2(Type2280),PCI-Express,3DNAND,,10980
4,crucial BX500 CT240BX500SSD1JP,https://kakaku.com/item/K0001097406/,240.0,540.0,500.0,2.5インチ,SerialATA6Gb/s,3DNAND,7mm,3251
5,WESTERN DIGITAL WD Blue 3D NAND SATA WDS100T2B0A,https://kakaku.com/item/K0000969848/,1000.0,560.0,530.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,11466
6,CFD PG3VNF CSSD-M2B1TPG3VNF,https://kakaku.com/item/K0001169975/,1000.0,5000.0,4400.0,M.2(Type2280),PCI-Express,3DTLC(BiCS4Flash),,20173
7,HP S700 2DP99AA#UUF,https://kakaku.com/item/K0001216093/,500.0,560.0,515.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,5368
8,ADATA XPG SX6000 Lite ASX6000LNP-256GT-C,https://kakaku.com/item/K0001127376/,256.0,1800.0,900.0,M.2(Type2280),PCI-Express,3DNAND,2.15mm,3480
9,CFD CSSD-S6B960CG3VX,https://kakaku.com/item/K0001132861/,960.0,550.0,510.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC(TMCBiCSフラッシュ),7mm,9328
10,サムスン 860 EVO MZ-76E500B/IT,https://kakaku.com/item/K0001027990/,500.0,550.0,520.0,2.5インチ,SerialATA6Gb/s,V-NAND3bitMLC,6.8mm,6989
11,crucial MX500 CT250MX500SSD1/JP,https://kakaku.com/item/K0001028333/,250.0,560.0,510.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,4815
12,WESTERN DIGITAL WD Blue SN500 NVMe WDS500G1B0C,https://kakaku.com/item/K0001140102/,500.0,1700.0,1450.0,M.2(Type2280),PCI-Express,3DNAND,2.38mm,7590
13,レキサーメディア NS100 LNS100-256RBJP [グレー],https://kakaku.com/item/K0001168437/,256.0,520.0,,2.5インチ,SerialATA6Gb/s,TLCNAND,7mm,3280
14,HP S700 2DP98AA#UUF,https://kakaku.com/item/K0001196063/,250.0,555.0,515.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,3168
15,グリーンハウス GH-SSDR2SA120,https://kakaku.com/item/K0001083589/,120.0,500.0,400.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,1949
16,WESTERN DIGITAL WD Blue 3D NAND SATA WDS500G2B0A,https://kakaku.com/item/K0000969847/,500.0,560.0,530.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,6889
17,CFD CSSD-S6B01TMG4VT,https://kakaku.com/item/K0001153967/,1000.0,560.0,540.0,2.5インチ,SerialATA6Gb/s,3DNAND(BiCSフラッシュ),7mm,12078
18,UMAX S330 UM-SSD25S330-960,https://kakaku.com/item/K0001216438/,960.0,560.0,450.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,8778
19,CFD CSSD-S6B240CG3VX,https://kakaku.com/item/K0001132863/,240.0,550.0,510.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC(TMCBiCSフラッシュ),7mm,3600
20,Corsair Force Series MP510 CSSD-F960GBMP510,https://kakaku.com/item/K0001098774/,960.0,3480.0,3000.0,M.2(Type2280),PCI-Express,3DTLCNAND,3mm,14764
21,サムスン 860 QVO MZ-76Q1T0B/IT,https://kakaku.com/item/K0001122056/,1000.0,550.0,520.0,2.5インチ,SerialATA6Gb/s,V-NAND4bitMLC,6.8mm,10826
22,Silicon Power PCIe Gen3x4 P34A80 SP001TBP34A80M28,https://kakaku.com/item/K0001153541/,1000.0,3400.0,3000.0,M.2(Type2280),PCI-Express,3DNAND,3.5mm,14500
23,WESTERN DIGITAL WD Black SN750 NVMe WDS500G3X0C,https://kakaku.com/item/K0001122649/,500.0,3470.0,2600.0,M.2(Type2280),PCI-Express,3DNAND,2.38mm,10978
24,バッファロー SSD-PG1.0U3-B/NL [ブラック],https://kakaku.com/item/K0001106580/,1000.0,,,,USB,,,11480
25,ADATA Ultimate SU630 ASU630SS-240GQ-T NTT-X Store限定モデル,https://kakaku.com/item/K0001198801/,240.0,520.0,450.0,2.5インチ,SerialATA6Gb/s,3DQLC,7mm,3168
26,ADATA Ultimate SU630 ASU630SS-960GQ-X NTT-X Store限定モデル,https://kakaku.com/item/K0001126328/,960.0,520.0,450.0,2.5インチ,SerialATA6Gb/s,3DQLC,7mm,8998
27,ADATA Ultimate SU630 ASU630SS-480GQ-T NTT-X Store限定モデル,https://kakaku.com/item/K0001198802/,480.0,520.0,450.0,2.5インチ,SerialATA6Gb/s,3DQLC,7mm,4999
28,バッファロー SSD-PG480U3-B/NL [ブラック],https://kakaku.com/item/K0001165374/,480.0,,,,USB,,,6680
29,インテル SSD 660p SSDPEKNW010T8X1,https://kakaku.com/item/K0001092797/,1024.0,1800.0,1800.0,M.2(Type2280),PCI-Express,3DNANDQLC,,10980
30,インテル SSD 660p SSDPEKNW020T8X1,https://kakaku.com/item/K0001092798/,2048.0,1800.0,1800.0,M.2(Type2280),PCI-Express,3DNANDQLC,,22739
31,AGI AGI512G17AI178,https://kakaku.com/item/K0001119256/,512.0,556.0,519.0,2.5インチ,SerialATA6Gb/s,,7mm,4980
32,サムスン T5 MU-PA1T0B/WW [BLACK],https://kakaku.com/item/K0001167453/,1000.0,540.0,540.0,,USB,V-NAND,,19500
33,SANDISK ウルトラ 3D SSD SDSSDH3-500G-J25,https://kakaku.com/item/K0000987593/,500.0,560.0,530.0,2.5インチ,SerialATA6Gb/s,,7mm,7040
34,レキサーメディア NM610 LNM610-1TRBJP,https://kakaku.com/item/K0001211576/,1000.0,2100.0,1600.0,M.2(Type2280),PCI-Express,3DTLC,2.25mm,10978
35,PLEXTOR M8VC PX-256M8VC,https://kakaku.com/item/K0001152719/,256.0,560.0,510.0,2.5インチ,SerialATA6Gb/s,3DTLC,6.8mm,3608
36,WESTERN DIGITAL WD Blue 3D NAND SATA WDS200T2B0A,https://kakaku.com/item/K0000969849/,2000.0,560.0,530.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,24800
37,SANDISK ウルトラ 3D SSD SDSSDH3-1T00-J25,https://kakaku.com/item/K0000987594/,1000.0,560.0,530.0,2.5インチ,SerialATA6Gb/s,,7mm,11990
38,CFD PG3VNF CSSD-M2B5GPG3VNF,https://kakaku.com/item/K0001169976/,500.0,5000.0,2500.0,M.2(Type2280),PCI-Express,3DTLC(BiCS4Flash),,12078
