,name,url,capacity[GB],memory_num,capacity_sum,memory_standard,interface,module_standard,generation,PRICE
27,G.Skill F2-6400CL5Q-16GBPQ (DDR2 PC2-6400 4GB 4枚組),https://kakaku.com/item/K0000062172/,4.0,4.0,16.0,DDR2SDRAM,DIMM,PC2-6400(DDR2-800),2.0,43800.0
28,RAMMAX Technology RM-SD1600-D16GB [SODIMM DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0001187084/,8.0,2.0,16.0,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),3.0,5310.0
29,UMAX UM-DDR4S-2400-16GB [DDR4 PC4-19200 16GB],https://kakaku.com/item/K0001175357/,16.0,1.0,16.0,DDR4SDRAM,DIMM,PC4-19200(DDR4-2400),4.0,5850.0
30,G.Skill F3-10666CL9T2-24GBRL (DDR3 PC3-10666 4GB 6枚組),https://kakaku.com/item/K0000106814/,4.0,6.0,24.0,DDR3SDRAM,DIMM,PC3-10666(DDR3-1333),3.0,14900.0
31,CENTURY MICRO CK4GX6-D4RE2666VL81 [DDR4 PC4-21300 4GB 6枚組 ECC Registered],https://kakaku.com/item/K0001046965/,4.0,6.0,24.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,36380.0
32,G.Skill F3-12800CL10Q-32GBXL [DDR3 PC3-12800 8GB 4枚組],https://kakaku.com/item/K0000308556/,8.0,4.0,32.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,16083.0
33,UMAX UM-DDR4D-2666-32GBHS [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001175366/,16.0,2.0,32.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,10980.0
34,CENTURY MICRO CK8GX6-D4RE2666VL81 [DDR4 PC4-21300 8GB 6枚組 ECC Registered],https://kakaku.com/item/K0001046967/,8.0,6.0,48.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,48376.0
35,G.Skill F3-10666CL9Q2-64GBZL [DDR3 PC3-10666 8GB 8枚組],https://kakaku.com/item/K0000318870/,8.0,8.0,64.0,DDR3SDRAM,DIMM,PC3-10666(DDR3-1333),3.0,32400.0
36,G.Skill F4-2400C15Q-64GFT [DDR4 PC4-19200 16GB 4枚組],https://kakaku.com/item/K0000951901/,16.0,4.0,64.0,DDR4SDRAM,DIMM,PC4-19200(DDR4-2400),4.0,24500.0
37,CENTURY MICRO CK16GX6-D4RE2666L82 [DDR4 PC4-21300 16GB 6枚組 ECC Registered],https://kakaku.com/item/K0001081249/,16.0,6.0,96.0,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),4.0,80668.0
38,トランセンド TS128GJMA534P [DDR3 PC3-12800 32GB 4枚組 ECC Registered Mac],https://kakaku.com/item/K0000876323/,32.0,4.0,128.0,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3.0,233856.0
39,G.Skill F4-2400C14Q2-128GRK [DDR4 PC4-19200 16GB 8枚組],https://kakaku.com/item/K0000787437/,16.0,8.0,128.0,DDR4SDRAM,DIMM,PC4-19200(DDR4-2400),4.0,56700.0
40,CENTURY MICRO CK32GX6-D4RE2400L42 [DDR4 PC4-19200 32GB 6枚組 ECC Registered],https://kakaku.com/item/K0001050967/,32.0,6.0,192.0,DDR4SDRAM,DIMM,PC4-19200(DDR4-2400),4.0,129808.0
41,G.Skill F4-3200C16Q2-256GVK [DDR4 PC4-25600 32GB 8枚組],https://kakaku.com/item/K0001212036/,32.0,8.0,256.0,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),4.0,148100.0
