,name,url,chip_name,SP,m_cap,m_bus,m_clock,bus_interface,PRICE
56,Colorful GTX1070Ti Twin [PCIExp 8GB],https://kakaku.com/item/K0001054364/,NVIDIA GeForceGTX1070Ti,2432.0,8.0,256.0,8.0,PCIExpress3.0x16,58119.0
57,MSI GTX 1070 Ti ARMOR 8G [PCIExp 8GB],https://kakaku.com/item/K0001010818/,NVIDIA GeForceGTX1070Ti,2432.0,8.0,256.0,8.008,PCIExpress3.0x16,68200.0
58,玄人志向 RD-RX5700XT-E8GB/DF [PCIExp 8GB],https://kakaku.com/item/K0001195294/,AMD RadeonRX5700XT,2560.0,8.0,256.0,14.0,PCIExpress4.0x16,45991.0
59,SAPPHIRE SAPPHIRE NITRO+ RADEON RX 5700 XT 8G GDDR6 DUAL HDMI/DUAL DP OC (UEFI) SPECIAL EDITION [PCIExp 8GB],https://kakaku.com/item/K0001214543/,AMD RadeonRX5700XT,2560.0,8.0,256.0,14.4,PCIExpress4.0x16,65780.0
60,MSI GeForce RTX 2070 SUPER GAMING Z TRIO [PCIExp 8GB],https://kakaku.com/item/K0001217730/,NVIDIA GeForceRTX2070SUPER,2560.0,8.0,256.0,15.5,PCIExpress3.0x16,79750.0
61,GIGABYTE GV-N2080WF3-8GC [PCIExp 8GB],https://kakaku.com/item/K0001124220/,NVIDIA GeForceRTX2080,2944.0,8.0,256.0,14.0,PCIExpress3.0x16,78078.0
62,GIGABYTE AORUS GV-N2080AORUS X-8GC [PCIExp 8GB],https://kakaku.com/item/K0001096667/,NVIDIA GeForceRTX2080,2944.0,8.0,256.0,14.14,PCIExpress3.0x16,109796.0
63,ZOTAC ZOTAC GAMING GeForce RTX 2080 AMP Extreme ZT-T20800B-10P [PCIExp 8GB],https://kakaku.com/item/K0001119514/,NVIDIA GeForceRTX2080,2944.0,8.0,256.0,14.4,PCIExpress3.0,79444.0
64,ZOTAC ZOTAC GAMING GeForce RTX 2080 SUPER Twin Fan ZT-T20820F-10P [PCIExp 8GB],https://kakaku.com/item/K0001176807/,NVIDIA GeForceRTX2080SUPER,3072.0,8.0,256.0,15.5,PCIExpress3.0x16,77329.0
65,ASUS ROG-STRIX-RXVEGA56-O8G-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001026807/,AMD RadeonRXVega56,3584.0,8.0,2048.0,0.8,PCIExpress3.0,40188.0
66,ASRock Phantom Gaming X Radeon VII 16G [PCIExp 16GB],https://kakaku.com/item/K0001128286/,AMD RadeonVII,3840.0,16.0,4096.0,1.0,PCIExpress3.0x16,91185.0
67,MSI Radeon RX Vega 64 Air Boost 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001056814/,AMD RadeonRXVega64,4096.0,8.0,2048.0,0.945,PCIExpress3.0x16,30780.0
68,SAPPHIRE SAPPHIRE NITRO+ RADEON RX VEGA 64 DUAL HDMI/DUAL DP (UEFI) SAP-VEGA64NITROV2/11275-03-40G [PCIExp 8GB],https://kakaku.com/item/K0001140831/,AMD RadeonRXVega64,4096.0,8.0,2048.0,1.9,PCIExpress3.0x16,60549.0
69,MSI GeForce RTX 2080 Ti SEA HAWK X [PCIExp 11GB],https://kakaku.com/item/K0001163354/,NVIDIA GeForceRTX2080Ti,4352.0,11.0,352.0,7.0,PCIExpress3.0x16,207548.0
70,MSI GeForce RTX 2080 Ti VENTUS GP [PCIExp 11GB],https://kakaku.com/item/K0001198117/,NVIDIA GeForceRTX2080Ti,4352.0,11.0,352.0,14.0,PCIExpress3.0x16,129351.0
71,GIGABYTE AORUS GV-N208TAORUS X-11GC [PCIExp 11GB],https://kakaku.com/item/K0001113735/,NVIDIA GeForceRTX2080Ti,4352.0,11.0,352.0,14.14,PCIExpress3.0x16,178017.0
72,ZOTAC ZOTAC GAMING GeForce RTX 2080 Ti AMP Extreme ZT-T20810B-10P [PCIExp 11GB],https://kakaku.com/item/K0001135566/,NVIDIA GeForceRTX2080Ti,4352.0,11.0,352.0,14.4,PCIExpress3.0x16,180873.0
