0,CFD W4U2666CX1-8G [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001202260/,8.0,2,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),6721
1,G.Skill F4-3600C19D-32GSXWB [DDR4 PC4-28800 16GB 2枚組],https://kakaku.com/item/K0001049471/,16.0,2,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),14980
2,CFD W3U1600PS-8G [DDR3 PC3-12800 8GB 2枚組],https://kakaku.com/item/K0000596705/,8.0,2,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),5676
3,crucial CT2K16G4DFD832A [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001155279/,16.0,2,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),13409
4,UMAX UM-DDR4D-2666-32GBHS [DDR4 PC4-21300 16GB 2枚組],https://kakaku.com/item/K0001175366/,16.0,2,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),10980
5,G.Skill F4-2666C19D-16GNT [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001042850/,8.0,2,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),5980
6,ADATA AX4U3200316G16-DB10 [DDR4 PC4-25600 16GB 2枚組],https://kakaku.com/item/K0001163152/,16.0,2,DDR4SDRAM,DIMM,PC4-25600(DDR4-3200),11980
7,CFD W4U2666PS-8GC19 [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0001083493/,8.0,2,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),6350
8,CFD D3N1600PS-L8G [SODIMM DDR3 PC3-12800 8GB],https://kakaku.com/item/K0000637117/,8.0,1,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),2840
9,G.Skill F4-3600C19D-16GSXWB [DDR4 PC4-28800 8GB 2枚組],https://kakaku.com/item/K0001049465/,8.0,2,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),7591
10,CFD D3N1600PS-L4G [SODIMM DDR3 PC3-12800 4GB],https://kakaku.com/item/K0000637116/,4.0,1,DDR3SDRAM,S.O.DIMM,PC3-12800(DDR3-1600),1460
11,G.Skill F4-3600C16D-32GTZNC [DDR4 PC4-28800 16GB 2枚組],https://kakaku.com/item/K0001180979/,16.0,2,DDR4SDRAM,DIMM,PC4-28800(DDR4-3600),21980
12,CFD D4N2666PS-8G [SODIMM DDR4 PC4-21300 8GB],https://kakaku.com/item/K0001010909/,8.0,1,DDR4SDRAM,S.O.DIMM,PC4-21300(DDR4-2666),3160
13,crucial CT2K8G4DFS8266 [DDR4 PC4-21300 8GB 2枚組],https://kakaku.com/item/K0000976480/,8.0,2,DDR4SDRAM,DIMM,PC4-21300(DDR4-2666),6460
14,CFD D3U1600PS-8G [DDR3 PC3-12800 8GB],https://kakaku.com/item/K0000761653/,8.0,1,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),2800
15,CFD W3U1600PS-4G [DDR3 PC3-12800 4GB 2枚組],https://kakaku.com/item/K0000596704/,4.0,2,DDR3SDRAM,DIMM,PC3-12800(DDR3-1600),3190
16,CFD W4N2400PS-8G [SODIMM DDR4 PC4-19200 8GB 2枚組],https://kakaku.com/item/K0001045990/,8.0,2,DDR4SDRAM,S.O.DIMM,PC4-19200(DDR4-2400),6115
