0,name,url,capacity,read_speed,write_speed,std_size,interface,type,thikness,PRICE
415,トランセンド SSD370 TS1TSSD370S,https://kakaku.com/item/K0000773288/,1000.0,560.0,460.0,2.5インチ,SerialATA6Gb/s,MLC,6.8mm,40980
416,インテル Optane SSD 900P SSDPED1D480GAX1,https://kakaku.com/item/K0001106128/,480.0,2500.0,2000.0,0,PCI-Express,3DXpoint,0,71599
417,インテル Optane SSD 905P SSDPE21D480GAM3,https://kakaku.com/item/K0001062297/,480.0,2600.0,2200.0,2.5インチ,PCI-Express,3DXpoint,15mm,77936
418,サムスン X5 MU-PB2T0B/IT,https://kakaku.com/item/K0001084257/,2048.0,2800.0,2300.0,0,0,0,0,152918
419,IBM 43W7722,https://kakaku.com/item/K0000353598/,50.0,80.0,50.0,2.5インチ,SerialATA,SLC,0,156744
420,IBM 46M0877,https://kakaku.com/item/K0000353601/,160.0,754.0,635.0,0,PCI-Express,SLC,0,1078000
421,J&A Information LEVEN JS300 SSD JS300SSD120GB,https://kakaku.com/item/K0001025649/,120.0,560.0,410.0,2.5インチ,SerialATA6Gb/s,0,7mm,2256
422,addlink S20 ad120GBS20S3S,https://kakaku.com/item/K0001217878/,120.0,510.0,400.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,2480
423,HI-DISC HDEXSSD120GPM10TD,https://kakaku.com/item/K0001055857/,120.0,400.0,300.0,0,USB,0,0,3180
424,KINGMAX KM240GSMV32,https://kakaku.com/item/K0001043870/,240.0,500.0,410.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,3339
425,エレコム ESD-EC0120GRD [レッド],https://kakaku.com/item/K0001038559/,120.0,410.0,400.0,0,USB,TLC,0,3480
426,SANDISK X600 SD9SN8W-128G-1122,https://kakaku.com/item/K0001028342/,128.0,530.0,490.0,M.2(Type2280),SerialATA6Gb/s,3DTLCNAND(nCache2.0：SLC/TLC),2.23mm,3535
