0,clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
74,3.6,4.0,8.0,0.0,0.0,1.0,8250.0,0.0,0.0,37690.0
75,2.9,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,41745.0
76,3.3,10.0,20.0,0.0,0.0,0.0,0.0,1.0,16500.0,63770.0
77,3.0,24.0,48.0,1.0,12000.0,1.0,64000.0,0.0,0.0,98780.0
78,2.5,28.0,56.0,0.0,0.0,1.0,38500.0,0.0,0.0,967999.0
80,3.5,4.0,4.0,1.0,2000.0,1.0,8000.0,0.0,0.0,11136.0
81,3.7,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3000.0,16800.0
82,3.7,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,37999.0
83,2.2,16.0,32.0,0.0,0.0,1.0,64000.0,0.0,0.0,81399.0
84,3.6,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,21250.0
85,3.7,6.0,12.0,0.0,0.0,0.0,0.0,1.0,12000.0,47849.0
86,2.2,12.0,24.0,0.0,0.0,1.0,17000.0,0.0,0.0,86450.0
87,3.5,8.0,16.0,0.0,0.0,1.0,16500.0,0.0,0.0,102959.0
88,2.8,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2000.0,6780.0
90,3.8,8.0,16.0,1.0,4000.0,1.0,16000.0,0.0,0.0,20822.0
91,1.9,6.0,6.0,0.0,0.0,1.0,8250.0,0.0,0.0,27918.0
92,3.5,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,32389.0
93,3.3,6.0,12.0,0.0,0.0,0.0,0.0,1.0,12000.0,37729.0
94,4.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,8000.0,40736.0
95,3.5,6.0,12.0,0.0,0.0,0.0,0.0,1.0,12000.0,41359.0
96,3.5,12.0,24.0,1.0,6000.0,1.0,32000.0,0.0,0.0,41465.0
97,3.3,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2000.0,6790.0
98,3.1,4.0,4.0,1.0,2000.0,1.0,8000.0,0.0,0.0,9949.0
99,3.4,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3000.0,15620.0
100,3.2,6.0,12.0,1.0,3000.0,1.0,16000.0,0.0,0.0,15932.0
101,4.2,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4000.0,23870.0
102,3.8,4.0,4.0,0.0,0.0,0.0,0.0,1.0,6000.0,32389.0
