0,name,url,chip_name,chip_maker,SP,m_cap,m_bus,m_clock,bus_interface,PRICE
49,玄人志向 GF-GTX1050Ti-E4GB/DF3 [PCIExp 4GB],https://kakaku.com/item/K0001173593/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4.0,128.0,7.007999999999999,PCIExpress3.0x16,11091.0
50,ASRock Phantom Gaming X Radeon RX590 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001114651/,AMD RadeonRX590,AMD,2304.0,8.0,256.0,8.0,PCIExpress3.0x16,21978.0
51,Palit Microsystems NE51650S06G1-1170F (GeForce GTX1650 STORMX OC 4GB) [PCIExp 4GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001153313/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.0,PCIExpress3.0x16,14980.0
52,GIGABYTE AORUS GV-N208TAORUSX WB-11GC [PCIExp 11GB],https://kakaku.com/item/K0001113733/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.14,PCIExpress3.0x16,196538.0
53,Palit Microsystems NE6165S018G1-166F (GeForce GTX 1650 SUPER StormX 4GB) [PCIExp 4GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001214579/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4.0,128.0,12.0,PCIExpress3.0x16,19800.0
54,SAPPHIRE SAPPHIRE PULSE RADEON RX 570 8G GDDR5 [PCIExp 8GB],https://kakaku.com/item/K0001031607/,AMD RadeonRX570,AMD,2048.0,8.0,256.0,7.0,PCIExpress3.0x16,18678.0
55,SAPPHIRE SAPPHIRE PULSE RADEON RX 550 2G GDDR5 HDMI/DVI-D/DP (UEFI) V2 [PCIExp 2GB],https://kakaku.com/item/K0001213716/,AMD RadeonRX550,AMD,640.0,2.0,128.0,6.0,PCIExpress3.0x16,9570.0
56,ASUS ROG-STRIX-RTX2080TI-O11G-WHITE-GAMING [PCIExp 11GB],https://kakaku.com/item/K0001221069/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.8,PCIExpress3.0,208800.0
57,GIGABYTE GV-R57GAMING OC-8GD [PCIExp 8GB],https://kakaku.com/item/K0001186003/,AMD RadeonRX5700,AMD,2304.0,8.0,256.0,14.0,PCIExpress4.0x16,39800.0
58,GIGABYTE GV-N166SOC-6GD [PCIExp 6GB],https://kakaku.com/item/K0001206483/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.0,PCIExpress3.0x16,28145.0
59,ASRock Radeon RX 5500 XT Challenger D 4G OC [PCIExp 4GB],https://kakaku.com/item/K0001219745/,AMD RadeonRX5500XT,AMD,1408.0,4.0,128.0,14.0,PCIExpress4.0x8,22000.0
60,GIGABYTE GV-N1650OC-4GD [PCIExp 4GB],https://kakaku.com/item/K0001152724/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.002,PCIExpress3.0x16,17050.0
61,MSI GeForce GTX 1660 Ti GAMING X 6G [PCIExp 6GB],https://kakaku.com/item/K0001133999/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.0,PCIExpress3.0x16,41580.0
62,玄人志向 GALAKURO GAMING GG-RTX2060SP-E8GB/DF [PCIExp 8GB],https://kakaku.com/item/K0001173225/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,44800.0
63,MSI GT 710 2GD3H LP [PCIExp 2GB],https://kakaku.com/item/K0000849552/,NVIDIA GeForceGT710,NVIDIA,192.0,2.0,64.0,1.6,PCIExpress2.0x8 接続スロット：PCI-Expressx16,4290.0
64,ZOTAC ZOTAC GAMING GeForce RTX 2060 SUPER MINI ZT-T20610E-10M [PCIExp 8GB],https://kakaku.com/item/K0001174640/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,45980.0
65,Palit Microsystems NE6166SS18J9-1160A (GeForce GTX 1660 SUPER GP OC) [PCIExp 6GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001207176/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.0,PCIExpress3.0x16,27680.0
66,Palit Microsystems NE6206ST19P2-1061J (GeForce RTX2060 SUPER JS 8GB) [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001173639/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,49280.0
67,玄人志向 GALAKURO GAMING GG-RTX2080SP-E8GB/DF [PCIExp 8GB],https://kakaku.com/item/K0001176804/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8.0,256.0,15.5,PCIExpress3.0x16,83380.0
68,ASUS PH-RTX2060-6G [PCIExp 6GB],https://kakaku.com/item/K0001137644/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6.0,192.0,14.0,PCIExpress3.0,34500.0
69,MSI GeForce RTX 2060 SUPER VENTUS GP [PCIExp 8GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001212835/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,45980.0
70,ASUS ROG-STRIX-RX5700XT-O8G-GAMING [PCIExp 8GB],https://kakaku.com/item/K0001188519/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0,53502.0
71,MSI Radeon RX 5500 XT MECH 4G OC [PCIExp 4GB],https://kakaku.com/item/K0001219749/,AMD RadeonRX5500XT,AMD,1408.0,4.0,128.0,14.0,PCIExpress4.0,22000.0
72,玄人志向 RD-RX5500XT-E8GB [PCIExp 8GB],https://kakaku.com/item/K0001219866/,AMD RadeonRX5500XT,AMD,1408.0,8.0,128.0,14.0,PCIExpress4.0x8,24725.0
73,ASUS PH-GTX1660TI-O6G [PCIExp 6GB],https://kakaku.com/item/K0001133237/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.002,PCIExpress3.0,29678.0
75,MSI GeForce RTX 2060 SUPER VENTUS OC [PCIExp 8GB],https://kakaku.com/item/K0001180627/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0x16,47260.0
76,MSI Radeon RX 5700 MECH OC [PCIExp 8GB],https://kakaku.com/item/K0001185030/,AMD RadeonRX5700,AMD,2304.0,8.0,256.0,14.0,PCIExpress4.0x16,38999.0
77,ASUS DUAL-RTX2060S-8G-EVO [PCIExp 8GB],https://kakaku.com/item/K0001187537/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0,47960.0
78,玄人志向 GF-GT710-E1GB/HS [PCIExp 1GB],https://kakaku.com/item/K0001127556/,NVIDIA GeForceGT710,NVIDIA,192.0,1.0,64.0,1.0,PCIExpress2.0x16,3311.0
79,MSI GeForce RTX 2070 SUPER GAMING X TRIO [PCIExp 8GB],https://kakaku.com/item/K0001187167/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,69827.0
80,MSI GeForce GTX 1650 SUPER VENTUS XS OC [PCIExp 4GB],https://kakaku.com/item/K0001214541/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4.0,128.0,12.0,PCIExpress3.0x16,21171.0
81,MSI GeForce RTX 2060 VENTUS XS 6G OC [PCIExp 6GB],https://kakaku.com/item/K0001140150/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6.0,192.0,14.0,PCIExpress3.0x16,38480.0
82,SAPPHIRE SAPPHIRE NITRO+ RADEON RX 5500 XT 8G GDDR6 DUAL HDMI/DUAL DP OC W/BP (UEFI) SPECIAL EDITION [PCIExp 8GB],https://kakaku.com/item/K0001220536/,AMD RadeonRX5500XT,AMD,1408.0,8.0,128.0,14.4,PCIExpress4.0x8 接続スロット：PCIExpressx16,32713.0
83,ASUS TUF-RTX2060-O6G-GAMING [PCIExp 6GB],https://kakaku.com/item/K0001141307/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6.0,192.0,14.0,PCIExpress3.0,39980.0
84,ASUS ROG-STRIX-RTX2080TI-O11G-GAMING [PCIExp 11GB],https://kakaku.com/item/K0001103647/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.0,PCIExpress3.0,162799.0
85,GIGABYTE AORUS GV-N208TAORUS X-11GC [PCIExp 11GB],https://kakaku.com/item/K0001113735/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.14,PCIExpress3.0x16,178107.0
86,Palit Microsystems NE6166S018J9-161F (GeForce GTX1660 SUPER StormX) [PCIExp 6GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0001207177/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.0,PCIExpress3.0x16,25980.0
87,玄人志向 GALAKURO GK-RTX2070SP-E8GB/WHITE/TP [PCIExp 8GB],https://kakaku.com/item/K0001188363/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,60478.0
89,ASUS ROG-STRIX-GTX1660TI-O6G-GAMING [PCIExp 6GB],https://kakaku.com/item/K0001133238/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.002,PCIExpress3.0,37398.0
90,玄人志向 RD-RX5700-E8GB/DF [PCIExp 8GB],https://kakaku.com/item/K0001195295/,AMD RadeonRX5700,AMD,2304.0,8.0,256.0,14.0,PCIExpress4.0x16,39389.0
91,ASRock Radeon RX 5700 XT Taichi X 8G OC+ [PCIExp 8GB],https://kakaku.com/item/K0001198118/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0x16,58800.0
92,ZOTAC ZOTAC GAMING GeForce RTX 2070 SUPER Twin Fan ZT-T20710F-10P [PCIExp 8GB],https://kakaku.com/item/K0001174641/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,59800.0
93,MSI GeForce RTX 2070 SUPER GAMING Z TRIO [PCIExp 8GB],https://kakaku.com/item/K0001217730/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,15.5,PCIExpress3.0x16,79750.0
94,MSI GeForce RTX 2080 SUPER VENTUS XS OC [PCIExp 8GB],https://kakaku.com/item/K0001205631/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8.0,256.0,15.5,PCIExpress3.0x16,85851.0
95,XFX RX-57XT8OFF6 [PCIExp 8GB],https://kakaku.com/item/K0001181914/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0x16,45800.0
96,MSI GeForce RTX 2080 SUPER GAMING X TRIO [PCIExp 8GB],https://kakaku.com/item/K0001180626/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8.0,256.0,15.5,PCIExpress3.0x16,98978.0
97,MSI GeForce GTX 1650 SUPER AERO ITX OC [PCIExp 4GB],https://kakaku.com/item/K0001214542/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4.0,128.0,12.0,PCIExpress3.0x16,21477.0
98,玄人志向 GALAKURO GAMING GG-GTX1660-E6GB/DF [PCIExp 6GB],https://kakaku.com/item/K0001171866/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6.0,192.0,8.0,PCIExpress3.0x16,24728.0
99,ASRock Radeon RX 5700 Challenger D 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001186913/,AMD RadeonRX5700,AMD,2304.0,8.0,256.0,14.0,PCIExpress4.0x16,39980.0
100,ASUS DUAL-RTX2080S-8G-EVO [PCIExp 8GB],https://kakaku.com/item/K0001187535/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8.0,256.0,15.5,PCIExpress3.0,82500.0
101,PowerColor PowerColor Red Devil Radeon RX 570 4GB GDDR5 AXRX 570 4GBD5-3DH/OC [PCIExp 4GB],https://kakaku.com/item/K0000960164/,AMD RadeonRX570,AMD,2048.0,4.0,256.0,1.75,PCIExpress3.0x16,16500.0
102,ASUS DUAL-RTX2070S-O8G-EVO [PCIExp 8GB],https://kakaku.com/item/K0001178058/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0,62189.0
103,MSI GeForce RTX 2060 AERO ITX 6G OC [PCIExp 6GB],https://kakaku.com/item/K0001120299/,NVIDIA GeForceRTX2060,NVIDIA,1920.0,6.0,192.0,14.0,PCIExpress3.0x16,35979.0
104,ASUS TUF 3-GTX1660S-O6G-GAMING [PCIExp 6GB],https://kakaku.com/item/K0001206484/,NVIDIA GeForceGTX1660SUPER,NVIDIA,1408.0,6.0,192.0,14.002,PCIExpress3.0,30281.0
105,玄人志向 RD-RX5700XT-E8GB/DF [PCIExp 8GB],https://kakaku.com/item/K0001195294/,AMD RadeonRX5700XT,AMD,2560.0,8.0,256.0,14.0,PCIExpress4.0x16,47080.0
106,GIGABYTE GV-N1660OC-6GD [PCIExp 6GB],https://kakaku.com/item/K0001140144/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6.0,192.0,8.002,PCIExpress3.0x16,25278.0
107,GIGABYTE AORUS GV-N207SAORUS-8GC [PCIExp 8GB],https://kakaku.com/item/K0001173220/,NVIDIA GeForceRTX2070SUPER,NVIDIA,2560.0,8.0,256.0,14.0,PCIExpress3.0x16,74700.0
108,ZOTAC ZOTAC GAMING GeForce RTX 2080 SUPER Twin Fan ZT-T20820F-10P [PCIExp 8GB],https://kakaku.com/item/K0001176807/,NVIDIA GeForceRTX2080SUPER,NVIDIA,3072.0,8.0,256.0,15.5,PCIExpress3.0x16,78101.0
110,ASUS GT710-SL-2GD5-BRK [PCIExp 2GB],https://kakaku.com/item/K0000977925/,NVIDIA GeForceGT710,NVIDIA,192.0,2.0,64.0,5.012,PCIExpress2.0,5283.0
111,SAPPHIRE SAPPHIRE PULSE RADEON RX 570 8G GDDR5 DUAL HDMI/DUAL DP OC W/BP (UEFI) [PCIExp 8GB],https://kakaku.com/item/K0001125314/,AMD RadeonRX570,AMD,2048.0,8.0,256.0,7.0,PCIExpress3.0x16,19059.0
112,ASUS DUAL-GTX1660TI-6G [PCIExp 6GB],https://kakaku.com/item/K0001195296/,NVIDIA GeForceGTX1660Ti,NVIDIA,1536.0,6.0,192.0,12.002,PCIExpress3.0,31020.0
113,玄人志向 GALAKURO GAMING GG-RTX2080Ti-E11GB/TP [PCIExp 11GB],https://kakaku.com/item/K0001171864/,NVIDIA GeForceRTX2080Ti,NVIDIA,4352.0,11.0,352.0,14.0,PCIExpress3.0x16,131470.0
114,ZOTAC ZOTAC GAMING GeForce GTX 1650 Low Profile ZT-T16500H-10L [PCIExp 4GB],https://kakaku.com/item/K0001175955/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.0,PCIExpress3.0x16,17895.0
115,MSI Radeon RX 5500 XT MECH 8G OC [PCIExp 8GB],https://kakaku.com/item/K0001219748/,AMD RadeonRX5500XT,AMD,1408.0,8.0,128.0,14.0,PCIExpress4.0,27499.0
117,玄人志向 GF-GT710-E1GB/LP/P [PCIExp 1GB],https://kakaku.com/item/K0001205037/,NVIDIA GeForceGT710,NVIDIA,192.0,1.0,64.0,5.0,PCIExpress2.0x8 接続スロット：PCI-Expressx16,3422.0
118,玄人志向 RD-RX560-E2GB/OC REV2.0 [PCIExp 2GB],https://kakaku.com/item/K0001045284/,AMD RadeonRX560,AMD,1024.0,2.0,128.0,6.0,PCIExpress3.0x8 接続スロット：PCI-Expressx16,9579.0
119,ASUS GTX1650-O4G-LP-BRK [PCIExp 4GB],https://kakaku.com/item/K0001187538/,NVIDIA GeForceGTX1650,NVIDIA,896.0,4.0,128.0,8.002,PCIExpress3.0,20539.0
120,ASUS TUF-GTX1650S-O4G-GAMING [PCIExp 4GB],https://kakaku.com/item/K0001214538/,NVIDIA GeForceGTX1650SUPER,NVIDIA,1280.0,4.0,128.0,12.002,PCIExpress3.0,22332.0
121,MSI GeForce GTX 1660 AERO ITX 6G OC [PCIExp 6GB],https://kakaku.com/item/K0001140063/,NVIDIA GeForceGTX1660,NVIDIA,1408.0,6.0,192.0,8.0,PCIExpress3.0x16,25578.0
122,ASUS DUAL-RTX2060S-O8G-EVO [PCIExp 8GB],https://kakaku.com/item/K0001178059/,NVIDIA GeForceRTX2060SUPER,NVIDIA,2176.0,8.0,256.0,14.0,PCIExpress3.0,52786.0
