,hdd_ssd,rpm0/read1,cache0/write1,PRICE
0,0,5400.0,256000.0,10946.0
1,0,5400.0,256000.0,13965.0
2,0,5400.0,64000.0,8550.0
3,0,5400.0,256000.0,7558.0
4,0,5400.0,256000.0,25273.0
5,0,5400.0,256000.0,10599.0
6,0,7200.0,64000.0,5551.0
7,0,7200.0,32000.0,3938.0
8,0,5400.0,256000.0,6356.0
9,0,7200.0,256000.0,6497.0
10,0,7200.0,128000.0,18945.0
11,0,5400.0,256000.0,9363.0
12,0,5400.0,64000.0,15912.0
13,0,5900.0,64000.0,12078.0
14,0,5400.0,256000.0,22380.0
15,0,7200.0,64000.0,5253.0
16,0,5400.0,64000.0,11480.0
17,0,5400.0,64000.0,11435.0
18,0,5400.0,256000.0,7150.0
19,0,5400.0,64000.0,7348.0
20,0,7200.0,64000.0,7141.0
21,0,7200.0,64000.0,4329.0
22,0,5400.0,256000.0,5855.0
23,0,7200.0,256000.0,24058.0
24,0,5400.0,64000.0,7186.0
25,0,5400.0,256000.0,35580.0
26,0,7200.0,256000.0,58980.0
27,0,5400.0,256000.0,44779.0
28,0,5400.0,64000.0,8954.0
29,0,7200.0,32000.0,4036.0
30,0,7200.0,32000.0,4639.0
31,0,7200.0,256000.0,26508.0
32,0,7200.0,256000.0,22880.0
33,0,5400.0,64000.0,7867.0
34,0,7200.0,256000.0,24728.0
35,0,5400.0,64000.0,5777.0
36,0,5900.0,64000.0,8930.0
37,0,5400.0,64000.0,18977.0
38,0,7200.0,256000.0,49879.0
39,0,7200.0,64000.0,7933.0
40,0,5900.0,64000.0,10303.0
41,0,7200.0,16000.0,2176.0
42,0,7200.0,256000.0,18888.0
43,0,7200.0,256000.0,21500.0
44,0,7200.0,256000.0,55480.0
45,0,5400.0,512000.0,62600.0
46,0,7200.0,8000.0,2800.0
47,0,7200.0,16000.0,4277.0
48,0,5400.0,64000.0,5250.0
49,0,7200.0,256000.0,39930.0
50,0,7200.0,256000.0,28200.0
51,0,5900.0,64000.0,6813.0
52,0,7200.0,128000.0,13750.0
