,0,name,url,chip_name,chip_maker,SP,m_cap,m_bus,m_clock,bus_interface,PRICE
11,209,MSI N730K-2GD5LP/OCV1 [PCIExp 2GB],https://kakaku.com/item/K0000943365/,NVIDIA GeForceGT730(64-bitGDDR5),NVIDIA,384.0,2000.0,64.0,5000.0,PCIExpress2.0,6094.0
12,110,Palit Microsystems NE5103000646-1080F (GeForce GT 1030 2GB LP) [PCIExp 2GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0000967476/,NVIDIA GeForceGT1030,NVIDIA,384.0,2000.0,64.0,6000.0,PCIExpress3.0x16,8514.0
13,29,ASUS GT1030-SL-2G-BRK [PCIExp 2GB],https://kakaku.com/item/K0000969293/,NVIDIA GeForceGT1030,NVIDIA,384.0,2000.0,64.0,6008.0,PCIExpress3.0,7980.0
14,35,玄人志向 RD-RX550-E2GB/OC [PCIExp 2GB],https://kakaku.com/item/K0001029982/,AMD RadeonRX550,AMD,512.0,2000.0,128.0,6000.0,PCIExpress3.0x16,7260.0
15,77,SAPPHIRE SAPPHIRE PULSE RADEON RX 550 2G GDDR5 HDMI/DVI-D/DP (UEFI) V2 [PCIExp 2GB],https://kakaku.com/item/K0001213716/,AMD RadeonRX550,AMD,640.0,2000.0,128.0,6000.0,PCIExpress3.0x16,9570.0
16,266,Manli M-NGTX1050/5R8HDP [PCIExp 2GB],https://kakaku.com/item/K0000918262/,NVIDIA GeForceGTX1050,NVIDIA,640.0,2000.0,128.0,7008.0,PCIExpress3.0x16,11880.0
17,148,Palit Microsystems NE5105T018G1-1070F (GeForce GTX1050Ti 4GB STORMX) [PCIExp 4GB] ドスパラWeb限定モデル,https://kakaku.com/item/K0000921781/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4000.0,128.0,3500.0,PCIExpress3.0x16,11980.0
18,27,玄人志向 GF-GTX1050Ti-E4GB/SF/P [PCIExp 4GB],https://kakaku.com/item/K0001176957/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4000.0,128.0,7000.0,PCIExpress3.0x16,12628.0
19,20,玄人志向 GF-GTX1050Ti-E4GB/DF3 [PCIExp 4GB],https://kakaku.com/item/K0001173593/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4000.0,128.0,7008.0,PCIExpress3.0x16,12078.0
20,490,MSI GeForce GTX 1050 Ti GAMING X 4G [PCIExp 4GB],https://kakaku.com/item/K0000919131/,NVIDIA GeForceGTX1050Ti,NVIDIA,768.0,4000.0,128.0,7108.0,PCIExpress3.0x16,30350.0
21,23,ASRock Phantom Gaming Radeon RX560 2G [PCIExp 2GB],https://kakaku.com/item/K0001067652/,AMD RadeonRX560(14ユニット),AMD,896.0,2000.0,128.0,6000.0,PCIExpress3.0x8 接続スロット：PCI-Expressx16,9328.0
